rule,n,positive,trigger,tn,fp,fn,tp,precision,recall,f1
idle_ge30,366,69,99,254,43,13,56,0.5656565656565656,0.8115942028985508,0.6666666666666666
keys30_lt5,366,69,133,229,68,4,65,0.48872180451127817,0.9420289855072463,0.6435643564356436
keys60_lt20,366,69,137,221,76,8,61,0.44525547445255476,0.8840579710144928,0.5922330097087378
idle20_keys30_lt8,366,69,112,248,49,6,63,0.5625,0.9130434782608695,0.6961325966850829
idle20_keys30_lt8_no_clip,366,69,111,249,48,6,63,0.5675675675675675,0.9130434782608695,0.7
idle20_multiscale,366,69,98,256,41,12,57,0.5816326530612245,0.8260869565217391,0.6826347305389222
multiscale_no_clip,366,69,119,238,59,9,60,0.5042016806722689,0.8695652173913043,0.6382978723404256
idle20_low_text_row,366,69,111,249,48,6,63,0.5675675675675675,0.9130434782608695,0.7
idle10_backspace2_no_clip,366,69,0,297,0,69,0,0.0,0.0,0.0
idle10_pause_lowkeys_no_clip,366,69,9,289,8,68,1,0.1111111111111111,0.014492753623188406,0.02564102564102564
idle20_no_clip_low_control,366,69,111,249,48,6,63,0.5675675675675675,0.9130434782608695,0.7
union_low_activity_or_edit_struggle,366,69,111,249,48,6,63,0.5675675675675675,0.9130434782608695,0.7
