duration_s,total_keys,keys_per_min,pause_P50,pause_P75,pause_P90,pause_P95,pause_P99,pause_mean,pause_std,long_pauses_30s,long_pauses_60s,bs_total,bs_ratio,bs_burst_count,bs_burst_max,bs_then_long_pause,enter_total,enter_ratio,ctrl_total,shift_total,row_changes,row_changes_ratio,burst_count,keys_per_burst,burst_len_mean,burst_len_std,char_count,char_ratio,solution_id,judge,problem_pass_rate,attempt_number,user_ac_rate,user_total_submissions,ac
1489.616,111,4.470950902783,1.029,4.42175,31.8893,90.29039999999992,311.7732999999988,20.16058108108108,71.48002412203473,9,5,0,0.0,0,0,0,0,0.0,37,1,26,0.2363636363636363,10,11.1,11.1,16.41005789142744,39,0.3513513513513513,989042,WA,0.093,8,0.446,350,0
1538.931,281,10.95565688130267,0.425,1.0,3.4049999999999985,12.704199999999984,109.8704400000008,5.823222641509435,37.70367486247642,7,5,0,0.0,0,0,0,11,0.0391459074733096,0,32,39,0.1392857142857143,8,35.125,35.125,30.587732426579123,234,0.8327402135231317,989235,WA,0.281,21,0.404,282,0
111.169,93,50.19384900466857,0.298,0.668,1.2974,1.7521999999999998,13.229319999999776,1.3265647058823526,7.360309426754956,1,1,0,0.0,0,0,0,5,0.053763440860215,1,9,8,0.0869565217391304,2,46.5,46.5,44.5,77,0.8279569892473119,989378,WA,0.424,3,0.432,294,0
1354.975,187,8.280595582944335,0.576,1.575,3.984,6.563999999999994,70.54004000000099,7.667288135593219,69.52045684936266,3,2,0,0.0,0,0,0,11,0.0588235294117647,0,28,16,0.086021505376344,4,46.75,46.75,42.98473566279081,140,0.7486631016042781,989973,PE,0.438,4,0.268,205,0
442.009,62,8.41611822383707,1.008,3.214,19.8748,59.37029999999999,71.61696,7.503220338983049,17.23984971233778,5,3,0,0.0,0,0,0,7,0.1129032258064516,0,4,17,0.2786885245901639,6,10.333333333333334,10.333333333333334,8.993825042154693,50,0.8064516129032258,990391,WA,0.639,2,0.435,216,0
769.367,231,18.014809577223872,0.361,1.006,3.391700000000004,18.237749999999902,84.2487399999994,3.5378027522935778,13.730110566804978,7,3,0,0.0,0,0,0,10,0.0432900432900432,0,27,30,0.1304347826086956,8,28.875,28.875,21.733830196263156,180,0.7792207792207793,990488,WA,0.419,2,0.223,972,0
1066.474,470,26.44227613612709,0.568,1.325,2.757,7.120399999999986,34.07372000000001,2.368540838852097,9.187738568871104,6,3,0,0.0,0,0,0,30,0.0638297872340425,2,66,42,0.0895522388059701,7,67.14285714285714,67.14285714285714,105.06926772566833,358,0.7617021276595745,990528,WA,0.460,1,0.36,258,0
1445.669,637,26.43758702718257,0.315,0.97275,2.3155,6.461,46.712400000000045,2.3994636963696365,9.839928664877108,15,5,7,0.0109890109890109,1,7,1,24,0.0376766091051805,14,63,77,0.1210691823899371,16,39.8125,39.8125,40.91487924643063,501,0.7864992150706437,990572,AC,0.449,1,0.372,312,1
891.948,368,24.754806334001533,0.33,0.909,2.52,4.585,54.8010000000002,2.641841642228739,14.880319761472258,5,3,0,0.0,0,0,0,18,0.0489130434782608,0,65,26,0.0708446866485013,6,61.333333333333336,61.333333333333336,47.11215931747934,252,0.6847826086956522,990694,AC,0.339,1,0.44,386,1
937.656,402,25.723719573063043,0.7515000000000001,1.7767499999999998,4.086299999999999,6.395649999999999,33.12085999999996,2.524149732620321,9.404025128313076,5,3,0,0.0,0,0,0,23,0.0572139303482587,3,60,43,0.1072319201995012,6,67.0,67.0,55.9076619674501,302,0.7512437810945274,990915,WA,0.626,1,0.445,164,0
1214.49,164,8.102166341427266,0.301,1.1375,4.297799999999999,21.35639999999999,120.65910000000022,7.848619354838709,48.38170320346332,6,5,3,0.0182926829268292,1,3,0,4,0.024390243902439,69,33,33,0.2024539877300613,7,23.428571428571427,23.428571428571427,20.36002485865128,50,0.3048780487804878,990954,WA,0.424,11,0.199,341,0
546.552,306,33.592412066921355,0.7115,1.54825,3.281,5.7695,19.00444999999904,1.928006993006993,6.237520552535899,3,1,0,0.0,0,0,0,22,0.0718954248366013,4,50,40,0.1311475409836065,4,76.5,76.5,56.8616742630746,226,0.738562091503268,990986,WA,0.521,1,0.446,166,0
1395.097,297,12.773305368730632,0.359,0.8705,2.2918,5.660849999999983,79.14857000000005,5.192429629629629,46.93377202494481,6,4,0,0.0,0,0,0,15,0.0505050505050505,18,40,26,0.0878378378378378,7,42.42857142857143,42.42857142857143,58.93303013435104,209,0.7037037037037037,991026,PE,0.339,1,0.433,483,0
1667.753,747,26.874483211842524,0.307,0.784,1.436,1.9745,19.832200000000142,2.435694645441389,24.773257833271806,4,3,1,0.001338688085676,0,0,0,42,0.0562248995983935,0,75,59,0.0790884718498659,5,149.4,149.4,141.4306897388258,592,0.7925033467202142,991337,WA,0.458,2,0.46,263,0
381.999,354,55.60223979643926,0.28,0.7945,1.3965,1.908,5.354599999999947,1.1528690476190475,7.665901514918052,2,1,0,0.0,0,0,0,17,0.0480225988700565,0,42,18,0.0509915014164305,3,118.0,118.0,106.81136019481572,284,0.8022598870056498,991401,AC,0.774,1,0.573,457,1
215.552,69,19.206502375296918,0.034,0.276,1.0338000000000007,8.013399999999994,81.59723999999997,3.315969230769231,16.200336477957894,2,2,0,0.0,0,0,0,0,0.0,7,54,8,0.1176470588235294,3,23.0,23.0,25.57342370508884,8,0.1159420289855072,991412,WA,0.424,2,0.357,322,0
1423.554,819,34.519238469352054,0.501,1.036,2.3386000000000027,4.622149999999995,19.64491000000005,1.87408203125,12.796643571871122,4,3,0,0.0,0,0,0,34,0.0415140415140415,0,219,55,0.0672371638141809,5,163.8,163.8,175.62961025977367,549,0.6703296703296703,991552,AC,0.408,3,0.676,142,1
752.819,308,24.547733253278675,0.271,0.777,2.256800000000001,7.615799999999994,66.93912,2.58459385665529,11.376258823893805,7,4,0,0.0,0,0,0,18,0.0584415584415584,0,31,26,0.0846905537459283,8,38.5,38.5,29.75315109362368,239,0.775974025974026,991581,WA,0.535,2,0.262,683,0
407.404,538,79.2333899519887,0.234,0.667,1.4070000000000014,2.1422999999999943,8.136740000000001,0.850741414141414,3.66924288639986,2,0,0,0.0,0,0,0,22,0.0408921933085501,12,65,41,0.0763500931098696,3,179.33333333333334,179.33333333333334,225.13156647219023,382,0.7100371747211895,991823,AC,0.553,1,0.361,718,1
182.32,348,114.52391399736727,0.2145,0.5445,1.1002,1.5961000000000003,7.54017000000001,0.5914999999999999,1.5351531417907465,0,0,0,0.0,0,0,0,20,0.057471264367816,2,40,26,0.0749279538904899,1,348.0,348.0,0.0,252,0.7241379310344828,991846,WA,0.698,1,0.361,720,0
672.792,718,64.03167695216351,0.31,0.953,2.521599999999999,3.872199999999998,10.380680000000003,1.0097237813884783,2.407111748750073,1,0,0,0.0,0,0,0,18,0.0250696378830083,5,243,29,0.0404463040446304,2,359.0,359.0,181.0,434,0.6044568245125348,991871,WA,0.429,1,0.403,407,0
1142.626,69,3.623232798833564,0.77,5.181,40.869200000000006,79.26159999999997,268.06136,17.58369230769231,52.21014495432357,8,5,0,0.0,0,0,0,6,0.0869565217391304,10,7,20,0.2941176470588235,9,7.666666666666667,7.666666666666667,7.086763875156432,35,0.5072463768115942,991902,CE,0.380,7,0.55,360,0
318.128,190,35.83463260071418,0.4175,1.0685,3.117900000000002,7.252799999999995,14.178039999999946,1.735548913043478,5.92329709868977,1,1,0,0.0,0,0,0,10,0.0526315789473684,2,23,17,0.0899470899470899,2,95.0,95.0,55.0,137,0.7210526315789474,992026,WA,0.366,1,0.316,364,0
435.474,194,26.72949475743672,0.4175,1.088,3.6801,9.079,43.22082999999984,2.3228031914893617,8.512391451402168,3,2,0,0.0,0,0,0,10,0.0515463917525773,4,23,19,0.0984455958549222,4,48.5,48.5,60.61971626459497,139,0.7164948453608248,992045,WA,0.366,2,0.315,365,0
