solution_id,problem_id,judge,type,detail,label
1170817,2090,NoData,DEBUG,bs_pause_2x,1
1211560,1525,OLE,IDLE,pause_124s,1
1132904,2112,PE,DEBUG,bs_pause_2x,1
1132904,2112,PE,DEBUG,bs_pause_2x,1
1308509,1512,AC,DEBUG,bs_pause_2x,1
1254255,1514,MLE,IDLE,pause_65s,1
1341071,1900,WA,IDLE,pause_70s,1
992224,1510,WA,IDLE,pause_70s,1
1439761,1868,WA,IDLE,pause_73s,1
1218084,1070,TLE,DEBUG,bs_pause_2x,1
1340414,1903,CE,IDLE,pause_59s,1
1221032,1665,PE,IDLE,pause_41s,1
1332047,1015,CE,IDLE,pause_51s,1
1378256,0,RE,IDLE,pause_85s,0
1117585,1533,MLE,IDLE,pause_41s,1
1423207,1027,MLE,IDLE,pause_31s,0
1167814,1515,NoData,DEBUG,bs_pause_2x,1
1110599,2191,AC,DEBUG,bs_pause_2x,0
1340459,2287,WA,DEBUG,bs_pause_2x,1
1418611,1513,PE,IDLE,pause_55s,1
1162233,1009,NoData,DEBUG,bs_pause_3x,1
1362671,1128,CE,IDLE,pause_32s,0
1306562,2252,CE,IDLE,pause_61s,0
1081174,1657,AC,IDLE,pause_63s,1
1315152,1497,MLE,IDLE,pause_32s,1
1084327,1464,TLE,IDLE,pause_33s,0
1037614,1676,OLE,IDLE,pause_119s,1
1170817,2090,NoData,DEBUG,bs_pause_2x,1
1267501,2260,WA,DEBUG,bs_pause_2x,1
1434065,1739,WA,IDLE,pause_48s,0
1267559,2260,WA,DEBUG,bs_pause_2x,1
1331402,0,RE,IDLE,pause_39s,1
1132896,2112,PE,DEBUG,bs_pause_2x,1
1044971,1210,PE,IDLE,pause_54s,1
1366530,1533,NoData,DEBUG,bs_pause_3x,1
1423586,1027,TLE,IDLE,pause_53s,0
1310273,2252,AC,DEBUG,bs_pause_2x,1
1250736,2272,NoData,IDLE,pause_31s,1
1331402,0,RE,IDLE,pause_50s,1
1167800,1515,NoData,DEBUG,bs_pause_2x,1
1072733,1508,MLE,IDLE,pause_43s,0
1132907,2112,PE,DEBUG,bs_pause_2x,0
1259941,1084,TLE,IDLE,pause_38s,1
1435074,1029,WA,DEBUG,bs_pause_2x,0
1268406,1664,NoData,IDLE,pause_120s,0
1375570,0,RE,IDLE,pause_45s,1
1024866,2170,MLE,IDLE,pause_75s,1
1132855,2112,PE,DEBUG,bs_pause_2x,1
1350070,1087,TLE,DEBUG,bs_pause_2x,1
1165335,1683,CE,IDLE,pause_38s,1
1213809,1129,TLE,IDLE,pause_45s,0
1329838,0,RE,IDLE,pause_43s,1
1248473,1514,WA,DEBUG,bs_pause_2x,1
1385707,1511,MLE,IDLE,pause_113s,1
1438301,1738,TLE,IDLE,pause_86s,1
1360952,2104,NoData,DEBUG,bs_pause_2x,1
1369836,1464,NoData,IDLE,pause_35s,1
1209755,1827,AC,IDLE,pause_64s,1
1117585,1533,MLE,IDLE,pause_32s,0
1162862,2227,PE,IDLE,pause_114s,1
1296622,1533,AC,DEBUG,bs_pause_2x,0
1375111,0,RE,IDLE,pause_31s,1
1379734,1687,CE,IDLE,pause_79s,1
1167771,1515,NoData,DEBUG,bs_pause_2x,1
1344866,1513,AC,IDLE,pause_32s,1
1046926,1667,WA,IDLE,pause_40s,1
1100347,1218,WA,DEBUG,bs_pause_3x,1
1152912,2254,AC,IDLE,pause_31s,0
1259459,1899,AC,DEBUG,bs_pause_2x,0
1283120,2118,PE,IDLE,pause_106s,1
1426080,1049,OLE,IDLE,pause_42s,1
1440343,1016,TLE,IDLE,pause_92s,1
1261251,1084,MLE,IDLE,pause_40s,1
1421900,1166,NoData,IDLE,pause_237s,1
1380309,1510,WA,DEBUG,bs_pause_2x,0
1298725,1645,MLE,IDLE,pause_41s,1
1153749,1532,MLE,IDLE,pause_38s,1
1009217,2087,AC,DEBUG,bs_pause_2x,0
1437949,1911,NoData,IDLE,pause_44s,0
1133820,1329,TLE,IDLE,pause_113s,1
1162233,1009,NoData,DEBUG,bs_pause_3x,1
1162277,1009,WA,DEBUG,bs_pause_3x,1
1132896,2112,PE,DEBUG,bs_pause_2x,1
1150469,1834,OLE,IDLE,pause_49s,0
1454401,1000,CE,DEBUG,bs_pause_2x,1
1139243,1513,PE,IDLE,pause_32s,1
1351364,0,RE,IDLE,pause_38s,1
1296350,2266,NoData,IDLE,pause_93s,0
1414032,1902,AC,DEBUG,bs_pause_2x,1
1366530,1533,NoData,DEBUG,bs_pause_3x,1
1335152,2285,PE,IDLE,pause_31s,0
1223445,1508,WA,IDLE,pause_39s,1
1101965,1661,WA,IDLE,pause_33s,1
1096919,1324,OLE,IDLE,pause_65s,1
1106979,1902,AC,IDLE,pause_53s,1
1382435,1127,AC,DEBUG,bs_pause_2x,1
1167097,1661,WA,DEBUG,bs_pause_2x,1
1431172,1449,OLE,IDLE,pause_51s,1
1090098,1508,NoData,IDLE,pause_34s,1
1165679,2223,TLE,IDLE,pause_32s,0
1054701,2179,TLE,IDLE,pause_78s,1
1209646,1065,NoData,IDLE,pause_89s,1
1435350,1045,OLE,IDLE,pause_41s,1
1102627,1516,AC,IDLE,pause_92s,1
1269074,1666,NoData,IDLE,pause_34s,0
1365622,0,RE,IDLE,pause_69s,1
1338946,2285,CE,DEBUG,bs_pause_2x,1
1149407,1514,WA,IDLE,pause_32s,0
1065826,1329,TLE,IDLE,pause_66s,1
1214121,1070,TLE,DEBUG,bs_pause_2x,1
1016399,1799,WA,IDLE,pause_41s,1
1032384,1065,AC,IDLE,pause_34s,1
1429470,1328,CE,IDLE,pause_87s,1
1134953,1683,PE,IDLE,pause_81s,1
1132867,2112,PE,DEBUG,bs_pause_2x,1
1121878,1551,AC,IDLE,pause_34s,1
1167793,0,CE,IDLE,pause_175s,1
1090065,1508,NoData,IDLE,pause_66s,1
1336637,0,RE,IDLE,pause_90s,1
1132867,2112,PE,DEBUG,bs_pause_2x,1
1096994,1462,AC,IDLE,pause_35s,1
1019726,1218,WA,DEBUG,bs_pause_2x,1
1023146,1007,AC,DEBUG,bs_pause_2x,1
1208311,1518,AC,IDLE,pause_41s,0
1360912,2104,NoData,DEBUG,bs_pause_2x,1
1111461,2086,PE,IDLE,pause_34s,1
1379358,2112,MLE,DEBUG,bs_pause_2x,1
1248377,1512,OLE,IDLE,pause_168s,1
1360456,1748,AC,DEBUG,bs_pause_3x,1
1437367,1848,OLE,IDLE,pause_55s,1
1036863,1218,WA,DEBUG,bs_pause_2x,1
1251278,1900,PE,IDLE,pause_67s,1
1435338,1045,OLE,IDLE,pause_43s,1
996215,2131,WA,IDLE,pause_33s,0
1213646,1662,CE,IDLE,pause_121s,0
1355810,1536,PE,IDLE,pause_54s,1
1368904,2108,WA,DEBUG,bs_pause_2x,1
1138564,2176,NoData,IDLE,pause_32s,0
1296491,1533,WA,DEBUG,bs_pause_2x,1
1158328,1019,AC,IDLE,pause_38s,1
1431974,1848,OLE,IDLE,pause_66s,0
1334049,1666,AC,DEBUG,bs_pause_2x,1
1009211,2087,AC,DEBUG,bs_pause_2x,1
1379358,2112,MLE,DEBUG,bs_pause_2x,1
1412213,1025,TLE,IDLE,pause_112s,0
1402656,0,RE,IDLE,pause_144s,1
1167850,1515,NoData,DEBUG,bs_pause_2x,1
1129221,0,CE,IDLE,pause_54s,1
1368147,0,RE,IDLE,pause_46s,0
1225069,2260,AC,DEBUG,bs_pause_2x,1
1219570,0,CE,IDLE,pause_109s,1
1077394,1009,WA,IDLE,pause_79s,1
1114878,1661,AC,DEBUG,bs_pause_2x,0
1366530,1533,NoData,NORMAL,random_30s_window,0
1150469,1834,OLE,NORMAL,random_30s_window,0
1439761,1868,WA,NORMAL,random_30s_window,0
1090065,1508,NoData,NORMAL,random_30s_window,0
1165335,1683,CE,NORMAL,random_30s_window,0
1379358,2112,MLE,NORMAL,random_30s_window,0
1355810,1536,PE,NORMAL,random_30s_window,0
1106979,1902,AC,NORMAL,random_30s_window,0
1218084,1070,TLE,NORMAL,random_30s_window,0
1162277,1009,WA,NORMAL,random_30s_window,0
1382435,1127,AC,NORMAL,random_30s_window,0
1340459,2287,WA,NORMAL,random_30s_window,1
1139243,1513,PE,NORMAL,random_30s_window,0
1283120,2118,PE,NORMAL,random_30s_window,0
1090098,1508,NoData,NORMAL,random_30s_window,0
1100347,1218,WA,NORMAL,random_30s_window,1
1009211,2087,AC,NORMAL,random_30s_window,0
1036863,1218,WA,NORMAL,random_30s_window,0
1310273,2252,AC,NORMAL,random_30s_window,0
1009217,2087,AC,NORMAL,random_30s_window,0
1338946,2285,CE,NORMAL,random_30s_window,0
1110599,2191,AC,NORMAL,random_30s_window,0
1360456,1748,AC,NORMAL,random_30s_window,0
1421900,1166,NoData,NORMAL,random_30s_window,0
1016399,1799,WA,NORMAL,random_30s_window,0
1368147,1902,RE,NORMAL,random_30s_window,0
1121878,1551,AC,NORMAL,random_30s_window,0
1440343,1016,TLE,NORMAL,random_30s_window,0
1072733,1508,MLE,NORMAL,random_30s_window,0
1438301,1738,TLE,NORMAL,random_30s_window,0
