n,positive_rate,predicted_rate,precision,recall,f1,false_prompts,false_prompt_rate,tp,tn,fp,fn,label,parameter,idle_s,keys_limit,split,f1_ci_low,f1_ci_high,context_s
268,0.1828358208955224,0.33955223880597013,0.5054945054945055,0.9387755102040817,0.6571428571428571,45,0.2054794520547945,46,174,45,3,recall_candidates,idle_s,5,8,dev,,,
98,0.20408163265306123,0.37755102040816324,0.5405405405405406,1.0,0.7017543859649124,17,0.21794871794871795,20,61,17,0,recall_candidates,idle_s,5,8,test,0.5357692307692308,0.8205128205128205,
268,0.1828358208955224,0.3246268656716418,0.5287356321839081,0.9387755102040817,0.676470588235294,41,0.1872146118721461,46,178,41,3,recall_candidates,idle_s,10,8,dev,,,
98,0.20408163265306123,0.3673469387755102,0.5555555555555556,1.0,0.7142857142857143,16,0.20512820512820512,20,62,16,0,recall_candidates,idle_s,10,8,test,0.5517241379310345,0.8421052631578948,
268,0.1828358208955224,0.30597014925373134,0.5487804878048781,0.9183673469387755,0.6870229007633588,37,0.1689497716894977,45,182,37,4,recall_candidates,idle_s,15,8,dev,,,
98,0.20408163265306123,0.35714285714285715,0.5714285714285714,1.0,0.7272727272727273,15,0.19230769230769232,20,63,15,0,recall_candidates,idle_s,15,8,test,0.5714285714285715,0.85,
268,0.1828358208955224,0.2835820895522388,0.5657894736842105,0.8775510204081632,0.6880000000000001,33,0.1506849315068493,43,186,33,6,recall_candidates,idle_s,20,8,dev,,,
98,0.20408163265306123,0.35714285714285715,0.5714285714285714,1.0,0.7272727272727273,15,0.19230769230769232,20,63,15,0,recall_candidates,idle_s,20,8,test,0.5714285714285715,0.85,
268,0.1828358208955224,0.26865671641791045,0.5694444444444444,0.8367346938775511,0.6776859504132232,31,0.1415525114155251,41,188,31,8,recall_candidates,idle_s,25,8,dev,,,
98,0.20408163265306123,0.3469387755102041,0.5588235294117647,0.95,0.7037037037037037,15,0.19230769230769232,19,63,15,1,recall_candidates,idle_s,25,8,test,0.5667410714285716,0.8205128205128205,
268,0.1828358208955224,0.2574626865671642,0.5652173913043478,0.7959183673469388,0.6610169491525423,30,0.136986301369863,39,189,30,10,recall_candidates,idle_s,27,8,dev,,,
98,0.20408163265306123,0.336734693877551,0.5454545454545454,0.9,0.679245283018868,15,0.19230769230769232,18,63,15,2,recall_candidates,idle_s,27,8,test,0.5277863777089784,0.7894736842105263,
268,0.1828358208955224,0.2462686567164179,0.5757575757575758,0.7755102040816326,0.6608695652173914,28,0.1278538812785388,38,191,28,11,recall_candidates,idle_s,30,8,dev,,,
98,0.20408163265306123,0.336734693877551,0.5454545454545454,0.9,0.679245283018868,15,0.19230769230769232,18,63,15,2,recall_candidates,idle_s,30,8,test,0.5277863777089784,0.7894736842105263,
268,0.1828358208955224,0.23507462686567165,0.5873015873015873,0.7551020408163265,0.6607142857142858,26,0.1187214611872146,37,193,26,12,recall_candidates,idle_s,33,8,dev,,,
98,0.20408163265306123,0.3163265306122449,0.5483870967741935,0.85,0.6666666666666665,14,0.1794871794871795,17,64,14,3,recall_candidates,idle_s,33,8,test,0.5,0.7777777777777777,
268,0.1828358208955224,0.23507462686567165,0.5873015873015873,0.7551020408163265,0.6607142857142858,26,0.1187214611872146,37,193,26,12,recall_candidates,idle_s,35,8,dev,,,
98,0.20408163265306123,0.30612244897959184,0.5666666666666667,0.85,0.68,13,0.16666666666666666,17,65,13,3,recall_candidates,idle_s,35,8,test,0.5185185185185185,0.7999999999999999,
268,0.1828358208955224,0.19776119402985073,0.6037735849056604,0.6530612244897959,0.6274509803921567,21,0.0958904109589041,32,198,21,17,recall_candidates,idle_s,45,8,dev,,,
98,0.20408163265306123,0.2857142857142857,0.6071428571428571,0.85,0.7083333333333333,11,0.14102564102564102,17,67,11,3,recall_candidates,idle_s,45,8,test,0.553544061302682,0.8181818181818182,
268,0.1828358208955224,0.17164179104477612,0.6521739130434783,0.6122448979591837,0.631578947368421,16,0.0730593607305936,30,203,16,19,recall_candidates,idle_s,60,8,dev,,,
