window_id,solution_id,event_index,window_end_time,label,prediction,error_type,source_batch,current_idle_s,keys_30s,text_keys_30s,clipboard_ops_30s,backspace_30s,enter_30s,control_30s,keys_60s,text_keys_60s,judge,key_summary
1201971-w002,1201971,523,2025-12-29T19:11:16.619375,0,1,false_positive,first_235,59.19,0,0,0,0,0,0,6,5,AC,"Shift -> CapsLock -> Shift -> i -> t ->   -> n -> a -> [ -> CapsLock -> M -> A -> X -> [ -> M -> A -> X -> CapsLock -> , -> M -> CapsLockx2 -> mx2 -> [ -> CapsLock -> M -> A -> X -> [ -> M -> A -> X -> ; -> Enter -> F -> O -> R -> Shift -> ( -> I -> N -> CapsLock -> o -> r -> Shift -> ( -> f -> i -> n -> t ->   -> i -> = -> 0 -> ; -> Shift -> < -> n -> i -> ; -> i -> Shift -> +x2 -> s -> Enter -> f -> o -> r -> Shift -> ( -> n -> t ->   -> i -> j -> = -> 0 -> ; -> Shift -> < -> j -> m -> j -> ; -> j -> Shift -> +x2 -> s -> Enter -> Shift -> { -> s -> Enterx2 -> Shift -> { -> Enter -> k -> , -> = -> 0 -> s"
1154790-w003,1154790,65,2025-12-25T16:22:32.222400,0,1,false_positive,first_235,119.65,0,0,0,0,0,0,0,0,WA,2 ->   -> 1x2 -> Backspacex5 -> Enter ->   -> m -> = -> y -> / -> 6 -> ; -> m -> Enter -> i -> n -> y -> t ->   -> n -> = -> y -> Shift -> % -> 6 -> ; -> 6 -> Shiftx7 -> * -> m -> Shift -> + -> 1 -> Shiftx6 -> + -> 2 -> Shift -> * -> m -> 1 ->   -> 1 -> 0 -> bx2 -> 0x3 -> Control -> c
1154790-w004,1154790,135,2025-12-25T16:26:15.236800,0,1,false_positive,first_235,45.703,0,0,0,0,0,0,14,14,WA,2 ->   -> 1x2 -> Backspacex5 -> Enter ->   -> m -> = -> y -> / -> 6 -> ; -> m -> Enter -> i -> n -> y -> t ->   -> n -> = -> y -> Shift -> % -> 6 -> ; -> 6 -> Shiftx7 -> * -> m -> Shift -> + -> 1 -> Shiftx6 -> + -> 2 -> Shift -> * -> m -> 1 ->   -> 1 -> 0 -> bx2 -> 0x3 -> Control -> c -> Enterx2 -> Control -> c -> Control -> v -> Enter -> a -> n -> a -> i -> n -> t ->   -> l -> e -> a -> e -> x -> t -> r -> a -> = -> 0 -> ; -> x -> e -> t -> r -> a -> - -> e -> x -> t -> r -> a -> - -> 2 -> Shiftx12 -> * -> n -> = -> + -> 1 -> Shift -> Backspacex10 -> 7 ->   -> 1 -> 3
1154790-w005,1154790,140,2025-12-25T16:29:58.251200,1,0,false_negative,first_235,0.491,3,3,0,0,0,0,3,3,WA,2 ->   -> 1x2 -> Backspacex5 -> Enter ->   -> m -> = -> y -> / -> 6 -> ; -> m -> Enter -> i -> n -> y -> t ->   -> n -> = -> y -> Shift -> % -> 6 -> ; -> 6 -> Shiftx7 -> * -> m -> Shift -> + -> 1 -> Shiftx6 -> + -> 2 -> Shift -> * -> m -> 1 ->   -> 1 -> 0 -> bx2 -> 0x3 -> Control -> c -> Enterx2 -> Control -> c -> Control -> v -> Enter -> a -> n -> a -> i -> n -> t ->   -> l -> e -> a -> e -> x -> t -> r -> a -> = -> 0 -> ; -> x -> e -> t -> r -> a -> - -> e -> x -> t -> r -> a -> - -> 2 -> Shiftx12 -> * -> n -> = -> + -> 1 -> Shift -> Backspacex10 -> 7 ->   -> 1 -> 3 -> Control -> c -> = -> -
1080234-w004,1080234,518,2025-12-18T14:11:40.498400,1,0,false_negative,first_235,2.818,7,6,1,0,0,1,7,6,WA,", -> 1 -> 3 -> Shiftx29 -> } -> Shiftx3 -> ; -> Enter -> i -> n -> t ->   -> t -> o -> a -> l -> t -> Shift -> _ -> d -> a -> y -> s -> = -> 0 -> ; -> t -> o -> t -> a -> l -> = -> m -> o -> [ -> m -> - -> 1 -> ; -> Enter -> i -> f -> Shift -> ( -> m -> = -> 2 -> Shift -> &x2 -> i -> s -> 9 -> Shift -> ( -> y -> Shift -> { -> Enter -> t -> Shift -> +x2 -> ; -> Enter -> p -> r -> i -> n -> t -> f -> Shift -> ( -> "" -> % -> d -> \ -> n -> , -> t -> o -> ; -> Enter -> r -> e -> t -> u -> r -> n ->   -> 0 -> ; -> Enter -> f -> i -> Shift -> ( -> m -> Shiftx4 -> < -> 0 -> Shift"
1055866-w003,1055866,7,2025-12-15T19:41:42.832000,1,0,false_negative,first_235,5.051,2,0,0,0,0,1,2,0,WA,Control -> Insert -> Control -> Insert -> Control -> Insert -> Control -> Insert
1055866-w005,1055866,22,2025-12-15T19:42:30.679000,1,0,false_negative,first_235,0.291,15,7,0,0,1,3,17,7,WA,Control -> Insert -> Control -> Insert -> Control -> Insert -> Control -> Insert -> Control -> Insert -> Control -> Insert -> Control -> Insert -> Enter -> i -> f -> Shift -> ( -> j -> Shift -> * -> j
1009937-w003,1009937,373,2025-12-08T21:59:51.083350,0,1,false_positive,first_235,44.595,0,0,0,0,0,0,29,20,AC,". -> h -> Shift -> > -> w -> h -> i -> e -> Shift -> l -> ( -> s -> c -> a -> n -> f -> Shift -> ( -> : -> Shift -> "" -> Shift -> % -> D -> s -> , -> s ->   -> Shiftx6 -> @ -> = -> CapsLock -> Shift -> ! -> = ->   -> Shift -> e -> o -> f -> Shift -> o -> f -> e -> CapsLock -> Shift -> E -> O -> F -> Shift -> { -> Enter -> s -> r -> t -> l -> Shift -> ( -> s -> ; -> i -> n -> t ->   -> l -> e -> n ->   -> = ->   -> Enter -> f -> o -> r -> Shift -> ( -> i -> n -> t ->   -> i ->   -> = ->   -> 0 -> ; ->   -> , ->   -> j ->  x2 -> l -> e -> = -> n -> - -> 1 -> i -> Shift -> <"
1008476-w002,1008476,159,2025-12-08T20:22:55.224250,1,0,false_negative,first_235,18.694,2,2,0,0,0,0,2,2,AC,"Shiftx4 -> # -> i -> n -> c -> l -> u -> d ->   -> e -> Shiftx27 -> < -> > -> Shiftx2 -> s -> t -> d -> i -> o -> . -> h -> Enter -> i -> n -> t -> m -> a ->   -> i -> n -> Shift -> ( -> ) -> { -> Enterx2 -> i -> n -> t ->   -> n -> ; -> w -> h -> i -> Enter -> e -> l -> ( -> ) -> Shift -> i -> n -> t ->   -> n -> s -> c -> a -> n -> f -> g -> Shift -> ( -> Shift -> "" -> % -> D -> d -> , -> Shift -> n -> & -> Shift -> 1 -> Shiftx3 -> ! -> = -> Shiftx13 -> E -> Shift -> O -> F -> Shift -> { -> Enter -> Control -> v -> - -> 1 -> Enterx2 -> Shift -> } -> Enter -> p -> Enter -> p -> Shift -> ( -> Shift -> """
1135122-w003,1135122,436,2025-12-24T08:32:29.408950,0,1,false_positive,first_235,29.279,3,3,0,0,0,0,18,15,AC,  -> g -> r -> d -> i -> [ -> ] -> [ -> = -> Shiftx3 -> { -> Shift ->   -> Shiftx8 -> } -> ' ->   -> ; -> Enterx2 -> 0 -> 1 -> 0 -> 1 -> 2 -> 0x3 -> i -> n -> t ->   -> i -> = -> 0 -> r -> o -> e -> w -> = -> 0 -> f -> o -> r -> Enter -> f -> o -> r -> Shift -> ( -> i -> n -> t ->   -> i -> = -> 0 -> ; -> i -> Shift -> < -> t -> o -> p -> 1 -> 2 -> = -> ; -> i -> +x2 -> Shiftx2 -> { -> Enter -> i -> n -> t ->   -> c -> o -> l -> = -> 2 -> Shift -> * -> Shiftx6 -> ( -> Shiftx2 -> i -> - -> 1 -> ; -> Enter -> s -> p -> Shift -> ) -> ( -> Shiftx31 -> & -> Shift -> g -> r -> i
