window_id,solution_id,event_index,window_end_time,label,my_label,same_as_user,reason,judge,current_idle_s,keys_5s,keys_10s,keys_30s,keys_60s,keys_120s,text_keys_30s,text_keys_60s,modifier_keys_30s,clipboard_ops_30s,backspace_30s,enter_30s,pause_count_30s
1061476-w005,1061476,398,2025-12-15T23:06:40.704000,1,0,False,长时间无文本输入，优先视为阅读/检查，不打扰,WA,74.577,0,0,0,0,77,0,0,0,0,0,0,0
1154790-w001,1154790,16,2025-12-25T16:15:06.193600,1,-1,False,证据不足或主要是剪贴板/异常记录，跳过,WA,22.039,0,0,4,8,8,4,8,0,0,0,0,0
1154790-w002,1154790,60,2025-12-25T16:18:49.208000,0,-1,False,证据不足或主要是剪贴板/异常记录，跳过,WA,17.774,0,0,1,2,17,1,2,0,0,0,0,0
1154790-w004,1154790,135,2025-12-25T16:26:15.236800,0,-1,False,证据不足或主要是剪贴板/异常记录，跳过,WA,45.703,0,0,0,14,40,0,14,0,0,0,0,0
1154790-w005,1154790,140,2025-12-25T16:29:58.251200,1,-1,False,证据不足或主要是剪贴板/异常记录，跳过,WA,0.491,2,2,3,3,3,3,3,0,0,0,0,1
1138163-w002,1138163,244,2025-12-24T11:31:23.635749999,1,0,False,长时间无文本输入，优先视为阅读/检查，不打扰,AC,53.681,0,0,0,10,142,0,4,0,0,0,0,0
1138163-w003,1138163,244,2025-12-24T11:32:41.189100,1,0,False,长时间无文本输入，优先视为阅读/检查，不打扰,AC,131.234,0,0,0,0,0,0,0,0,0,0,0,0
1138163-w004,1138163,244,2025-12-24T11:33:58.742450,1,0,False,长时间无文本输入，优先视为阅读/检查，不打扰,AC,208.787,0,0,0,0,0,0,0,0,0,0,0,0
1080234-w003,1080234,456,2025-12-18T14:07:19.646200,1,0,False,长时间无文本输入，优先视为阅读/检查，不打扰,WA,53.878,0,0,0,6,10,0,6,0,0,0,0,0
1080234-w004,1080234,518,2025-12-18T14:11:40.498400,1,0,False,以快捷键/剪贴板为主，不像需要帮助,WA,2.818,5,5,7,7,13,6,6,1,1,0,0,1
1080234-w005,1080234,547,2025-12-18T14:16:01.350600,1,0,False,长时间无文本输入，优先视为阅读/检查，不打扰,WA,76.142,0,0,0,0,13,0,0,0,0,0,0,0
1055866-w001,1055866,5,2025-12-15T19:40:54.985000,1,-1,False,证据不足或主要是剪贴板/异常记录，跳过,WA,29.157,0,0,6,6,6,0,0,6,0,0,0,0
1055866-w002,1055866,5,2025-12-15T19:41:18.908500,1,-1,False,证据不足或主要是剪贴板/异常记录，跳过,WA,53.081,0,0,0,6,6,0,0,0,0,0,0,0
1055866-w003,1055866,7,2025-12-15T19:41:42.832000,1,-1,False,证据不足或主要是剪贴板/异常记录，跳过,WA,5.051,0,2,2,2,8,0,0,2,0,0,0,0
1055866-w004,1055866,7,2025-12-15T19:42:06.755500,1,-1,False,证据不足或主要是剪贴板/异常记录，跳过,WA,28.974,0,0,2,2,8,0,0,2,0,0,0,0
1055866-w005,1055866,22,2025-12-15T19:42:30.679000,1,-1,False,证据不足或主要是剪贴板/异常记录，跳过,WA,0.291,8,9,15,17,17,7,7,8,0,0,1,2
1387653-w003,1387653,601,2026-01-10T00:50:21.442800,1,0,False,长时间无文本输入，优先视为阅读/检查，不打扰,WA,42.225,0,0,0,8,8,0,7,0,0,0,0,0
1387653-w004,1387653,693,2026-01-10T00:54:49.860600,1,0,False,长时间无文本输入，优先视为阅读/检查，不打扰,WA,44.461,0,0,0,5,7,0,5,0,0,0,0,0
1387653-w005,1387653,693,2026-01-10T00:59:18.278400,1,0,False,长时间无文本输入，优先视为阅读/检查，不打扰,WA,312.878,0,0,0,0,0,0,0,0,0,0,0,0
1299160-w005,1299160,32,2026-01-06T20:13:33.515400,0,-1,False,证据不足或主要是剪贴板/异常记录，跳过,WA,0.143,6,28,28,28,29,9,9,19,0,0,0,1
1135122-w003,1135122,436,2025-12-24T08:32:29.408950,0,1,False,仍有任务进展但出现低速/阶段性停滞，可考虑弹,AC,29.279,0,0,3,18,62,3,15,0,0,0,0,0
1135122-w005,1135122,870,2025-12-24T08:40:10.950100,1,0,False,当前没有明确卡住证据，保守不打扰,AC,11.03,0,0,1,12,118,1,12,0,0,0,0,0
1145934-w002,1145934,72,2025-12-25T09:57:16.362250,1,0,False,长时间无文本输入，优先视为阅读/检查，不打扰,AC,84.086,0,0,0,0,34,0,0,0,0,0,0,0
1145934-w003,1145934,72,2025-12-25T09:59:00.786500,1,0,False,长时间无文本输入，优先视为阅读/检查，不打扰,AC,188.511,0,0,0,0,0,0,0,0,0,0,0,0
1145934-w004,1145934,91,2025-12-25T10:00:45.210750,1,0,False,当前没有明确卡住证据，保守不打扰,AC,17.671,0,0,6,19,19,6,17,0,0,0,1,2
1145934-w005,1145934,100,2025-12-25T10:02:29.635000,1,0,False,当前没有明确卡住证据，保守不打扰,AC,6.429,0,3,3,6,9,3,5,0,0,0,1,0
1359598-w001,1359598,230,2026-01-09T08:59:02.728800,1,0,False,长时间无文本输入，优先视为阅读/检查，不打扰,CE,58.976,0,0,0,2,65,0,2,0,0,0,0,0
