solution_id,labeled_windows,unique_labels,positive_windows,all_same_label
1005008,4,2,1,False
1006107,5,2,3,False
1008476,5,2,1,False
1009937,5,2,1,False
1017474,5,1,0,True
1046718,5,1,0,True
1049954,5,1,0,True
1050643,5,2,1,False
1055705,5,2,1,False
1055866,5,1,5,True
1061476,5,2,1,False
1070364,5,2,2,False
1080234,5,2,3,False
1090270,5,1,0,True
1120829,4,2,2,False
1132940,5,2,1,False
1135122,5,2,2,False
1136332,5,1,5,True
1138163,5,2,3,False
1145934,5,2,4,False
1154790,5,2,2,False
1166905,5,2,2,False
1201971,5,1,0,True
1203968,2,1,0,True
1204347,5,1,0,True
1249728,5,1,5,True
1251138,5,1,0,True
1259801,5,2,2,False
1272023,5,2,3,False
1297782,5,2,1,False
1299160,1,1,0,True
1299589,5,2,2,False
1326703,5,1,0,True
1359598,5,2,2,False
1380331,5,2,1,False
1387653,5,2,3,False
1422860,1,1,0,True
1428909,5,2,2,False
1429511,5,1,0,True
