window_id,solution_id,event_index,window_end_time,my_label,reason,user_label,same_as_user
1120829-w001,1120829,72,2025-12-22T20:43:51.080800,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
1120829-w002,1120829,204,2025-12-22T20:47:34.167125,0,最近仍在持续输入，不应因活动本身弹窗,0.0,True
1120829-w003,1120829,314,2025-12-22T20:51:17.253450,0,最近仍在持续输入，不应因活动本身弹窗,0.0,True
1120829-w004,1120829,442,2025-12-22T20:55:00.339775,0,没有明确卡住证据，保守不打扰,1.0,False
1120829-w005,1120829,462,2025-12-22T20:58:43.426100,-1,低活动可能是思考/阅读，证据不足,-1.0,True
1387343-w001,1387343,21,2026-01-10T00:25:31.232000,-1,按键/代码证据过少或回放异常，跳过,-1.0,True
1387343-w002,1387343,26,2026-01-10T00:25:44.362700,-1,按键/代码证据过少或回放异常，跳过,-1.0,True
1387343-w003,1387343,35,2026-01-10T00:25:57.493399999,-1,按键/代码证据过少或回放异常，跳过,-1.0,True
1387343-w004,1387343,37,2026-01-10T00:26:10.624100,-1,按键/代码证据过少或回放异常，跳过,-1.0,True
1387343-w005,1387343,64,2026-01-10T00:26:23.754799999,-1,按键/代码证据过少或回放异常，跳过,-1.0,True
1297782-w001,1297782,22,2026-01-06T19:04:39.088400,-1,按键/代码证据过少或回放异常，跳过,1.0,False
1297782-w002,1297782,76,2026-01-06T19:05:16.139750,0,最近仍在持续输入，不应因活动本身弹窗,0.0,True
1297782-w003,1297782,131,2026-01-06T19:05:53.191100,0,最近仍在持续输入，不应因活动本身弹窗,0.0,True
1297782-w004,1297782,166,2026-01-06T19:06:30.242450,0,最近仍在持续输入，不应因活动本身弹窗,0.0,True
1297782-w005,1297782,179,2026-01-06T19:07:07.293800,0,最近仍在持续输入，不应因活动本身弹窗,0.0,True
1136332-w001,1136332,101,2025-12-24T09:03:03.520000,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
1136332-w002,1136332,101,2025-12-24T09:05:17.915625,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
1136332-w003,1136332,101,2025-12-24T09:07:32.311250,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
1136332-w004,1136332,101,2025-12-24T09:09:46.706875,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
1136332-w005,1136332,101,2025-12-24T09:12:01.102500,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
1319522-w001,1319522,1,2026-01-07T17:29:49.834600,-1,按键/代码证据过少或回放异常，跳过,-1.0,True
1319522-w002,1319522,1,2026-01-07T17:32:06.236250,-1,按键/代码证据过少或回放异常，跳过,-1.0,True
1319522-w003,1319522,1,2026-01-07T17:34:22.637900,-1,按键/代码证据过少或回放异常，跳过,-1.0,True
1319522-w004,1319522,4,2026-01-07T17:36:39.039550,-1,按键/代码证据过少或回放异常，跳过,-1.0,True
1319522-w005,1319522,44,2026-01-07T17:38:55.441200,-1,按键/代码证据过少或回放异常，跳过,-1.0,True
1422860-w001,1422860,2,2026-03-23T11:50:57.609200,-1,按键/代码证据过少或回放异常，跳过,-1.0,True
1422860-w002,1422860,4,2026-03-23T11:52:24.293000,-1,按键/代码证据过少或回放异常，跳过,-1.0,True
1422860-w003,1422860,66,2026-03-23T11:53:50.976800,-1,按键/代码证据过少或回放异常，跳过,-1.0,True
1422860-w004,1422860,68,2026-03-23T11:55:17.660600,-1,按键/代码证据过少或回放异常，跳过,-1.0,True
1422860-w005,1422860,115,2026-03-23T11:56:44.344400,0,最近仍在持续输入，不应因活动本身弹窗,0.0,True
1204347-w001,1204347,240,2025-12-29T20:42:10.992200,0,没有明确卡住证据，保守不打扰,0.0,True
1204347-w002,1204347,469,2025-12-29T20:44:48.869500,0,最近仍在持续输入，不应因活动本身弹窗,0.0,True
1204347-w003,1204347,700,2025-12-29T20:47:26.746800,-1,低活动可能是思考/阅读，证据不足,0.0,False
1204347-w004,1204347,733,2025-12-29T20:50:04.624100,0,最近仍在持续输入，不应因活动本身弹窗,0.0,True
1204347-w005,1204347,803,2025-12-29T20:52:42.501400,0,最近仍在持续输入，不应因活动本身弹窗,0.0,True
993770-w001,993770,0,2025-12-06T12:12:35.120000,-1,按键/代码证据过少或回放异常，跳过,-1.0,True
993770-w002,993770,2,2025-12-06T12:17:18.987499999,-1,按键/代码证据过少或回放异常，跳过,-1.0,True
993770-w003,993770,68,2025-12-06T12:22:02.855000,-1,按键/代码证据过少或回放异常，跳过,-1.0,True
993770-w004,993770,122,2025-12-06T12:26:46.722499999,-1,按键/代码证据过少或回放异常，跳过,-1.0,True
993770-w005,993770,159,2025-12-06T12:31:30.589999999,-1,按键/代码证据过少或回放异常，跳过,-1.0,True
1092863-w001,1092863,13,2025-12-19T17:05:15.126200,-1,按键/代码证据过少或回放异常，跳过,-1.0,True
1092863-w002,1092863,15,2025-12-19T17:06:29.409500,-1,按键/代码证据过少或回放异常，跳过,-1.0,True
1092863-w003,1092863,30,2025-12-19T17:07:43.692800,-1,按键/代码证据过少或回放异常，跳过,-1.0,True
1092863-w004,1092863,135,2025-12-19T17:08:57.976100,-1,按键/代码证据过少或回放异常，跳过,-1.0,True
1092863-w005,1092863,135,2025-12-19T17:10:12.259400,-1,按键/代码证据过少或回放异常，跳过,-1.0,True
1299589-w001,1299589,58,2026-01-06T20:23:42.642400,0,长时间无文本输入，保守视为阅读/检查，不打扰,0.0,True
1299589-w002,1299589,111,2026-01-06T20:25:33.308374999,0,近期仍有明显文本输入，没有明确卡住证据,0.0,True
1299589-w003,1299589,137,2026-01-06T20:27:23.974350,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
1299589-w004,1299589,156,2026-01-06T20:29:14.640324999,0,代码已有较大进展且当前空闲，优先不打扰,1.0,False
1299589-w005,1299589,222,2026-01-06T20:31:05.306299999,0,最近仍在持续输入，不应因活动本身弹窗,0.0,True
1249728-w001,1249728,106,2026-01-04T08:22:48.066000,-1,低活动可能是思考/阅读，证据不足,1.0,False
1249728-w002,1249728,106,2026-01-04T08:24:55.633125,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
1249728-w003,1249728,106,2026-01-04T08:27:03.200250,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
1249728-w004,1249728,106,2026-01-04T08:29:10.767375,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
1249728-w005,1249728,106,2026-01-04T08:31:18.334500,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
1203968-w001,1203968,62,2025-12-29T20:31:15.666400,-1,低活动可能是思考/阅读，证据不足,-1.0,True
1203968-w002,1203968,84,2025-12-29T20:32:22.347000,0,近期仍有明显文本输入，没有明确卡住证据,-1.0,False
1203968-w003,1203968,172,2025-12-29T20:33:29.027600,0,最近仍在持续输入，不应因活动本身弹窗,-1.0,False
1203968-w004,1203968,248,2025-12-29T20:34:35.708200,0,最近仍在持续输入，不应因活动本身弹窗,0.0,True
1203968-w005,1203968,322,2025-12-29T20:35:42.388799999,0,没有明确卡住证据，保守不打扰,0.0,True
1090270-w001,1090270,213,2025-12-19T11:02:04.607000,0,近期仍有明显文本输入，没有明确卡住证据,0.0,True
1090270-w002,1090270,365,2025-12-19T11:04:29.563875,0,最近仍在持续输入，不应因活动本身弹窗,0.0,True
1090270-w003,1090270,461,2025-12-19T11:06:54.520750,-1,最近主要是快捷键/剪贴板操作，不足以判断需要弹窗,0.0,False
1090270-w004,1090270,626,2025-12-19T11:09:19.477625,0,近期仍有明显文本输入，没有明确卡住证据,0.0,True
