window_id,solution_id,event_index,window_end_time,label,prediction,error_type,judge,current_idle_s,keys_30s,text_keys_30s,clipboard_ops_30s,key_summary
1201971-w002,1201971,523,2025-12-29T19:11:16.619375,0,1,false_positive,AC,59.19,0,0,0,"Shift -> CapsLock -> Shift -> i -> t ->   -> n -> a -> [ -> CapsLock -> M -> A -> X -> [ -> M -> A -> X -> CapsLock -> , -> M -> CapsLockx2 -> mx2 -> [ -> CapsLock -> M -> A -> X -> [ -> M -> A -> X -> ; -> Enter -> F -> O -> R -> Shift -> ( -> I -> N -> CapsLock -> o -> r -> Shift -> ( -> f -> i -> n -> t ->   -> i -> = -> 0 -> ; -> Shift -> < -> n -> i -> ; -> i -> Shift -> +x2 -> s -> Enter -> f -> o -> r -> Shift -> ( -> n -> t ->   -> i -> j -> = -> 0 -> ; -> Shift -> < -> j -> m -> j -> ; -> j -> Shift -> +x2 -> s -> Enter -> Shift -> { -> s -> Enterx2 -> Shift -> { -> Enter -> k -> , -> = -> 0 -> s"
1154790-w003,1154790,65,2025-12-25T16:22:32.222400,0,1,false_positive,WA,119.65,0,0,0,2 ->   -> 1x2 -> Backspacex5 -> Enter ->   -> m -> = -> y -> / -> 6 -> ; -> m -> Enter -> i -> n -> y -> t ->   -> n -> = -> y -> Shift -> % -> 6 -> ; -> 6 -> Shiftx7 -> * -> m -> Shift -> + -> 1 -> Shiftx6 -> + -> 2 -> Shift -> * -> m -> 1 ->   -> 1 -> 0 -> bx2 -> 0x3 -> Control -> c
1154790-w004,1154790,135,2025-12-25T16:26:15.236800,0,1,false_positive,WA,45.703,0,0,0,2 ->   -> 1x2 -> Backspacex5 -> Enter ->   -> m -> = -> y -> / -> 6 -> ; -> m -> Enter -> i -> n -> y -> t ->   -> n -> = -> y -> Shift -> % -> 6 -> ; -> 6 -> Shiftx7 -> * -> m -> Shift -> + -> 1 -> Shiftx6 -> + -> 2 -> Shift -> * -> m -> 1 ->   -> 1 -> 0 -> bx2 -> 0x3 -> Control -> c -> Enterx2 -> Control -> c -> Control -> v -> Enter -> a -> n -> a -> i -> n -> t ->   -> l -> e -> a -> e -> x -> t -> r -> a -> = -> 0 -> ; -> x -> e -> t -> r -> a -> - -> e -> x -> t -> r -> a -> - -> 2 -> Shiftx12 -> * -> n -> = -> + -> 1 -> Shift -> Backspacex10 -> 7 ->   -> 1 -> 3
1009937-w003,1009937,373,2025-12-08T21:59:51.083350,0,1,false_positive,AC,44.595,0,0,0,". -> h -> Shift -> > -> w -> h -> i -> e -> Shift -> l -> ( -> s -> c -> a -> n -> f -> Shift -> ( -> : -> Shift -> "" -> Shift -> % -> D -> s -> , -> s ->   -> Shiftx6 -> @ -> = -> CapsLock -> Shift -> ! -> = ->   -> Shift -> e -> o -> f -> Shift -> o -> f -> e -> CapsLock -> Shift -> E -> O -> F -> Shift -> { -> Enter -> s -> r -> t -> l -> Shift -> ( -> s -> ; -> i -> n -> t ->   -> l -> e -> n ->   -> = ->   -> Enter -> f -> o -> r -> Shift -> ( -> i -> n -> t ->   -> i ->   -> = ->   -> 0 -> ; ->   -> , ->   -> j ->  x2 -> l -> e -> = -> n -> - -> 1 -> i -> Shift -> <"
1008476-w002,1008476,159,2025-12-08T20:22:55.224250,1,0,false_negative,AC,18.694,2,2,0,"Shiftx4 -> # -> i -> n -> c -> l -> u -> d ->   -> e -> Shiftx27 -> < -> > -> Shiftx2 -> s -> t -> d -> i -> o -> . -> h -> Enter -> i -> n -> t -> m -> a ->   -> i -> n -> Shift -> ( -> ) -> { -> Enterx2 -> i -> n -> t ->   -> n -> ; -> w -> h -> i -> Enter -> e -> l -> ( -> ) -> Shift -> i -> n -> t ->   -> n -> s -> c -> a -> n -> f -> g -> Shift -> ( -> Shift -> "" -> % -> D -> d -> , -> Shift -> n -> & -> Shift -> 1 -> Shiftx3 -> ! -> = -> Shiftx13 -> E -> Shift -> O -> F -> Shift -> { -> Enter -> Control -> v -> - -> 1 -> Enterx2 -> Shift -> } -> Enter -> p -> Enter -> p -> Shift -> ( -> Shift -> """
1135122-w003,1135122,436,2025-12-24T08:32:29.408950,0,1,false_positive,AC,29.279,3,3,0,  -> g -> r -> d -> i -> [ -> ] -> [ -> = -> Shiftx3 -> { -> Shift ->   -> Shiftx8 -> } -> ' ->   -> ; -> Enterx2 -> 0 -> 1 -> 0 -> 1 -> 2 -> 0x3 -> i -> n -> t ->   -> i -> = -> 0 -> r -> o -> e -> w -> = -> 0 -> f -> o -> r -> Enter -> f -> o -> r -> Shift -> ( -> i -> n -> t ->   -> i -> = -> 0 -> ; -> i -> Shift -> < -> t -> o -> p -> 1 -> 2 -> = -> ; -> i -> +x2 -> Shiftx2 -> { -> Enter -> i -> n -> t ->   -> c -> o -> l -> = -> 2 -> Shift -> * -> Shiftx6 -> ( -> Shiftx2 -> i -> - -> 1 -> ; -> Enter -> s -> p -> Shift -> ) -> ( -> Shiftx31 -> & -> Shift -> g -> r -> i
1135122-w005,1135122,870,2025-12-24T08:40:10.950100,1,0,false_negative,AC,11.03,1,1,0,Enter -> i -> n -> t ->   -> l -> a -> s -> t -> Shift -> _ -> c -> a -> h -> a -> r -> = -> - -> 0 -> 1 -> - -> 1 -> 2 -> 1 -> ; -> Enter -> f -> o -> r -> Shift -> ( -> i -> n ->   -> t -> Shift -> W -> c -> = -> Shift -> - -> W -> 1 -> ; -> c -> Shift -> > -> 0 -> ; -> c -> Shift -> _x2 -> -x2 -> Shift -> { -> Enter -> = -> i -> f -> Shift -> ( -> g -> r -> i -> d -> [ -> r -> [ -> c -> Shift -> ! -> = -> ' ->   -> Shift -> ! -> = ->   -> ' -> Shiftx4 -> &x2 -> g -> r -> i -> d -> [ -> r -> [ -> c -> Shift -> ! -> = -> 0 -> Shift -> { -> Enter -> l -> a -> = -> c
1145934-w004,1145934,91,2025-12-25T10:00:45.210750,1,0,false_negative,AC,17.671,6,6,0,"Control -> v -> Enter -> Shift -> } -> Shift -> 2 -> * -> Shift -> ( -> Shift -> ) -> n -> -x2 -> y -> x -> y -> Shift -> + -> x -> Shift -> + -> 1 -> ; -> y -> Shift -> < -> = -> n -> ; -> y -> Shiftx2 -> +x2 -> Shift -> { -> Enter -> p -> i -> r -> t -> m -> n -> t -> f -> Shift -> ( -> Shift -> "" -> Shift -> % -> . -> 2 -> d -> , -> i -> ; -> Enter -> p -> r -> n -> t -> f -> i -> Shift -> ( -> Shift -> "" -> \ -> n -> ; -> Enter -> p -> r -> i -> n -> t -> f -> Shift -> ( -> Shift -> "" -> \ -> n -> ; -> / -> * -> Enter -> * -> /"
1006107-w005,1006107,277,2025-12-08T19:07:54.573000,0,1,false_positive,WA,241.62,0,0,0,"m -> a -> i -> n -> Shift -> ( -> Enter -> Shift -> { -> Enter -> r -> e -> t -> u -> r -> n ->   -> 0 -> ; -> Enter -> w -> h -> i -> l -> e -> Shift -> ( -> s -> c -> a -> n -> f -> Shift -> ( -> Shift -> "" -> Shift -> % -> d -> , -> Shift -> & -> n -> Shift -> ! -> = -> Shift -> O -> E -> F -> Shift -> Enter -> [ -> Enterx2 -> Shift -> { -> Enterx2 -> i -> n -> t ->   -> n -> ; -> f -> o -> r -> Shift -> ( -> i -> t ->   -> n -> i -> = -> 0 -> ; -> i -> Shiftx11 -> < -> n -> 1 -> = -> ; -> i -> Shiftx2 -> +x2 -> Enter -> Shift -> Enter -> Shift -> Enter -> Shift -> { -> Enter -> f -> o -> r -> Shift -> ( -> i"
1204347-w003,1204347,700,2025-12-29T20:47:26.746800,0,1,false_positive,WA,29.966,1,1,0,"Controlx12 -> v -> j -> = -> Controlx3 -> v -> j -> Shift -> + -> 1 -> ; -> Enter -> Control -> v -> j -> + -> 1 -> Shift -> = -> g -> ; -> p -> r -> i -> n -> t -> f -> Shiftx4 -> ( -> Shift -> "" -> Shiftx12 -> B -> E -> S -> T -> \ -> n -> Shiftx56 -> % -> Shift -> d ->   -> Shift -> % -> d ->   -> Shift -> % -> d ->   -> Shift -> % -> d -> \ -> n -> , -> Shiftx56 -> Controlx10 -> v -> . -> 0 -> , -> Controlx6 -> v -> 0 -> . -> n -> u -> m -> , -> Controlx9 -> v -> Control -> 0 -> . -> b -> , -> Control -> v -> 0 -> . -> c -> , -> Control -> v -> 0 -> . -> d -> ; -> u"
