window_id,solution_id,event_index,window_end_time,problem_id,judge,duration_s,total_keys,key_summary,code_replay,keys_5s,text_keys_5s,modifier_keys_5s,clipboard_ops_5s,activity_type_5s,pause_count_5s,pause_total_5s,pause_p90_5s,backspace_5s,enter_5s,control_5s,row_changes_5s,column_changes_5s,keys_10s,text_keys_10s,modifier_keys_10s,clipboard_ops_10s,activity_type_10s,pause_count_10s,pause_total_10s,pause_p90_10s,backspace_10s,enter_10s,control_10s,row_changes_10s,column_changes_10s,keys_30s,text_keys_30s,modifier_keys_30s,clipboard_ops_30s,activity_type_30s,pause_count_30s,pause_total_30s,pause_p90_30s,backspace_30s,enter_30s,control_30s,row_changes_30s,column_changes_30s,keys_60s,text_keys_60s,modifier_keys_60s,clipboard_ops_60s,activity_type_60s,pause_count_60s,pause_total_60s,pause_p90_60s,backspace_60s,enter_60s,control_60s,row_changes_60s,column_changes_60s,keys_120s,text_keys_120s,modifier_keys_120s,clipboard_ops_120s,activity_type_120s,pause_count_120s,pause_total_120s,pause_p90_120s,backspace_120s,enter_120s,control_120s,row_changes_120s,column_changes_120s,current_idle_s,submitted_code
1061476-w001,1061476,177,2025-12-15T23:01:45.010000,1059,WA,422.4,414,"Shift -> # -> i -> n -> c -> l -> u -> d -> e -> Shift -> < -> s -> t -> d -> i -> o -> . -> h -> Shift -> > -> Enter -> i -> n -> t ->   -> a -> i -> m -> n -> Shiftx24 -> ( -> Shift -> v -> o -> i -> d -> Shift -> { -> Enter -> i -> n -> t ->   -> n -> ; -> Enter -> f -> o -> r -> Shift -> ( -> i -> n -> t ->   -> i -> = -> 0 -> ; -> Enter -> i -> t ->   -> n -> c -> o -> u -> n -> t -> = -> 0 -> ; -> i -> Shift -> < -> n -> ; -> i -> Shift -> +x2 -> Shift -> { -> Enter -> s -> c -> a -> n -> f -> Shiftx28 -> ( -> Shiftx8 -> "" -> Shiftx2 -> % -> Shift -> d -> , -> Enter -> i -> n","#include<stdio.h>
int main(void {
    int n;
    int count=0;
    int a;      i<n;i++ {
        scanf(""%d ,
                   a ;
        if(a%22",9,5,4,0,持续输入,0,0.0,1.081,0,0,0,0,4,14,9,5,0,持续输入,0,0.0,1.709,0,1,0,1,8,66,22,44,0,修饰键占多数,4,11.767,0.992,0,2,0,4,22,109,61,48,0,持续输入,7,22.719,1.225,0,4,0,8,61,178,101,77,0,持续输入,9,28.176,1.062,0,7,0,11,101,0.586,
1061476-w002,1061476,261,2025-12-15T23:02:58.933500,1059,WA,422.4,414,"t -> d -> i -> o -> . -> h -> Shift -> > -> Enter -> i -> n -> t ->   -> a -> i -> m -> n -> Shiftx24 -> ( -> Shift -> v -> o -> i -> d -> Shift -> { -> Enter -> i -> n -> t ->   -> n -> ; -> Enter -> f -> o -> r -> Shift -> ( -> i -> n -> t ->   -> i -> = -> 0 -> ; -> Enter -> i -> t ->   -> n -> c -> o -> u -> n -> t -> = -> 0 -> ; -> i -> Shift -> < -> n -> ; -> i -> Shift -> +x2 -> Shift -> { -> Enter -> s -> c -> a -> n -> f -> Shiftx28 -> ( -> Shiftx8 -> "" -> Shiftx2 -> % -> Shift -> d -> , -> Enter -> i -> n -> t ->   -> a -> ; -> a -> ; -> Enter -> i -> f -> Shift -> ( -> a","#include<stdio.h>
int main(void {
    int n;
    int count=0;
    int a;      i<n;i++ {
    while(scanf(""%d ,&n !=EOF
                   a ;
        if(a%2==0 {
            count++;


    pr    (""%d ,cou   ;
    retur  0;",14,5,9,0,修饰键占多数,0,0.0,0.538,0,0,0,0,4,23,8,15,0,修饰键占多数,0,0.0,0.674,0,0,0,0,7,41,24,17,0,持续输入,0,0.0,1.08,0,1,0,1,23,68,44,24,0,持续输入,4,27.039,1.74,0,2,0,3,43,172,99,73,0,持续输入,12,53.574,1.8,0,7,0,12,100,1.069,
1061476-w003,1061476,287,2025-12-15T23:04:12.857000,1059,WA,422.4,414,"Shiftx15 -> ( -> Shift -> v -> o -> i -> d -> Shift -> { -> Enter -> i -> n -> t ->   -> n -> ; -> Enter -> f -> o -> r -> Shift -> ( -> i -> n -> t ->   -> i -> = -> 0 -> ; -> Enter -> i -> t ->   -> n -> c -> o -> u -> n -> t -> = -> 0 -> ; -> i -> Shift -> < -> n -> ; -> i -> Shift -> +x2 -> Shift -> { -> Enter -> s -> c -> a -> n -> f -> Shiftx28 -> ( -> Shiftx8 -> "" -> Shiftx2 -> % -> Shift -> d -> , -> Enter -> i -> n -> t ->   -> a -> ; -> a -> ; -> Enter -> i -> f -> Shift -> ( -> a -> Shiftx4 -> % -> 2x2 -> =x2 -> 0 -> Shift -> { -> Enter -> o -> c -> u -> n -> t -> Shift -> +x2 -> ; -> Enter","#include<stdio.h>
int main(void {
    int n;
    int count=0;
    int a[1000005<n;i++ {
    while(scanf(""%d ,&n !=EOF {
                   a ;
        if(a%2==0 { [i
            [i]nt++;


    pr    (""%d ,cou   ;
    }etur  0;
",6,6,0,0,持续输入,0,0.0,0.957,0,0,0,1,5,6,6,0,0,持续输入,0,0.0,0.957,0,0,0,1,5,12,12,0,0,持续输入,4,24.978,4.416,0,0,0,4,11,20,20,0,0,持续输入,7,50.902,7.591,0,1,0,5,19,77,58,19,0,持续输入,12,86.502,3.432,1,4,0,12,56,0.212,
1061476-w004,1061476,398,2025-12-15T23:05:26.780500,1059,WA,422.4,414,""" -> Shiftx2 -> % -> Shift -> d -> , -> Enter -> i -> n -> t ->   -> a -> ; -> a -> ; -> Enter -> i -> f -> Shift -> ( -> a -> Shiftx4 -> % -> 2x2 -> =x2 -> 0 -> Shift -> { -> Enter -> o -> c -> u -> n -> t -> Shift -> +x2 -> ; -> Enter -> p -> r -> Shiftx7 -> ( -> "" -> % -> d -> , -> c -> o -> u -> ; -> Enter -> r -> t -> e -> u -> r -> 0 ->   -> ; -> Enter -> w -> h -> i -> l -> e -> Shift -> ( -> s -> c -> a -> n -> f -> Shift -> ( -> "" -> % -> d -> , -> Shiftx6 -> & -> n -> Shiftx8 -> ! -> = -> Shift -> E -> O -> F -> Shift -> { -> Enter -> Shift -> } -> Backspace -> Enter -> [ -> 1 -> 0x5 -> 5 -> [","#include<stdio.h>
int main(void {
    int n;
    int count=0;
    int a[1000005<n;i++ {
    while(scanf(""%d ,&n !=EOF {
                   a ;
           a%2==0 { [i
        }   [i]nt++;
        for(int i=0;i<n;i++ {
            if(a[i %2==0 {
    pr    (""%d ,count++;
    }etur  0;

        pr    (""%d ,count ;
    }",6,5,1,0,持续输入,0,0.0,0.608,0,0,0,0,4,12,11,1,0,持续输入,2,5.075,2.003,0,0,0,1,10,29,26,3,0,持续输入,3,12.756,1.929,0,0,0,2,25,104,61,43,0,持续输入,5,19.932,1.28,0,2,0,4,59,130,86,44,0,持续输入,13,64.742,1.924,0,4,0,10,83,0.653,
1061476-w005,1061476,398,2025-12-15T23:06:40.704000,1059,WA,422.4,414,""" -> Shiftx2 -> % -> Shift -> d -> , -> Enter -> i -> n -> t ->   -> a -> ; -> a -> ; -> Enter -> i -> f -> Shift -> ( -> a -> Shiftx4 -> % -> 2x2 -> =x2 -> 0 -> Shift -> { -> Enter -> o -> c -> u -> n -> t -> Shift -> +x2 -> ; -> Enter -> p -> r -> Shiftx7 -> ( -> "" -> % -> d -> , -> c -> o -> u -> ; -> Enter -> r -> t -> e -> u -> r -> 0 ->   -> ; -> Enter -> w -> h -> i -> l -> e -> Shift -> ( -> s -> c -> a -> n -> f -> Shift -> ( -> "" -> % -> d -> , -> Shiftx6 -> & -> n -> Shiftx8 -> ! -> = -> Shift -> E -> O -> F -> Shift -> { -> Enter -> Shift -> } -> Backspace -> Enter -> [ -> 1 -> 0x5 -> 5 -> [","#include<stdio.h>
int main(void {
    int n;
    int count=0;
    int a[1000005<n;i++ {
    while(scanf(""%d ,&n !=EOF {
                   a ;
           a%2==0 { [i
        }   [i]nt++;
        for(int i=0;i<n;i++ {
            if(a[i %2==0 {
    pr    (""%d ,count++;
    }etur  0;

        pr    (""%d ,count ;
    }",0,0,0,0,低活动,0,0.0,0.0,0,0,0,0,0,0,0,0,0,低活动,0,0.0,0.0,0,0,0,0,0,0,0,0,0,低活动,0,0.0,0.0,0,0,0,0,0,0,0,0,0,低活动,0,0.0,0.0,0,0,0,0,0,77,39,38,0,持续输入,5,19.932,1.512,0,1,0,3,37,74.577,
1005008-w001,1005008,74,2025-12-08T18:57:38.946800,1746,TLE,368.7,261,"Shift -> # -> i -> n -> c -> l -> u -> d ->   -> e -> Shift -> < -> s -> d -> t -> i -> o -> . -> h -> Shift -> > -> Enter -> i -> t ->   -> n -> m -> a -> i -> n -> Shift -> ( -> { -> Enter -> Shift -> i -> n -> t ->   -> n -> ; -> Enter -> w -> h -> i -> l -> ; -> ex2 -> Shift -> ( -> s -> c -> a -> n -> f -> Shift -> ( -> Shift -> "" -> Shift -> % -> d -> , -> n -> Shift -> ! -> = -> Shift -> E -> F -> O -> Shift -> { -> Enter","#include <stdio.h>
int main( {
    int n;
    while(scanf(""%d ,n !=EOF {
",0,0,0,0,低活动,0,0.0,0.0,0,0,0,0,0,0,0,0,0,低活动,0,0.0,0.0,0,0,0,0,0,0,0,0,0,低活动,0,0.0,0.0,0,0,0,0,0,36,29,7,0,持续输入,3,8.191,1.53,0,2,0,1,28,75,63,12,0,持续输入,3,8.191,0.924,0,4,0,3,63,37.125,
1005008-w002,1005008,101,2025-12-08T18:58:43.468250,1746,TLE,368.7,261,"Shift -> # -> i -> n -> c -> l -> u -> d ->   -> e -> Shift -> < -> s -> d -> t -> i -> o -> . -> h -> Shift -> > -> Enter -> i -> t ->   -> n -> m -> a -> i -> n -> Shift -> ( -> { -> Enter -> Shift -> i -> n -> t ->   -> n -> ; -> Enter -> w -> h -> i -> l -> ; -> ex2 -> Shift -> ( -> s -> c -> a -> n -> f -> Shift -> ( -> Shift -> "" -> Shift -> % -> d -> , -> n -> Shift -> ! -> = -> Shift -> E -> F -> O -> Shift -> { -> Enter -> i -> n -> t ->   -> d -> o -> f -> o -> u -> n -> d -> 0 -> = -> ; -> 1 -> Enter -> i -> n -> t -> d ->   -> f -> = -> 0 -> 2 -> ;","#include <stdio.h>
int main( {
    int n;
    while(scanf(""%d ,n !=EOF {
        int found10;
        int f    2=0;
",0,0,0,0,低活动,0,0.0,0.0,0,0,0,0,0,0,0,0,0,低活动,0,0.0,0.0,0,0,0,0,0,5,5,0,0,持续输入,1,3.294,2.522,0,1,0,0,4,27,27,0,0,持续输入,3,18.865,1.979,0,2,0,1,26,54,47,7,0,持续输入,6,80.365,2.042,0,3,0,2,46,12.784,
1005008-w003,1005008,145,2025-12-08T18:59:47.989700,1746,TLE,368.7,261,"Shift -> # -> i -> n -> c -> l -> u -> d ->   -> e -> Shift -> < -> s -> d -> t -> i -> o -> . -> h -> Shift -> > -> Enter -> i -> t ->   -> n -> m -> a -> i -> n -> Shift -> ( -> { -> Enter -> Shift -> i -> n -> t ->   -> n -> ; -> Enter -> w -> h -> i -> l -> ; -> ex2 -> Shift -> ( -> s -> c -> a -> n -> f -> Shift -> ( -> Shift -> "" -> Shift -> % -> d -> , -> n -> Shift -> ! -> = -> Shift -> E -> F -> O -> Shift -> { -> Enter -> i -> n -> t ->   -> d -> o -> f -> o -> u -> n -> d -> 0 -> = -> ; -> 1 -> Enter -> i -> n -> t -> d ->   -> f -> = -> 0 -> 2 -> ;","#include <stdio.h>
int main( {
    int n;
    while(scanf(""%d ,n !=EOF {
        int found10;
        int f    2=0;
        if(n>2&&n%2==0 {
            f     =1;

        for(int a=1;a<n;",2,2,0,0,持续输入,0,0.0,1.119,0,0,0,0,1,6,5,1,0,持续输入,1,6.216,4.177,0,0,0,0,4,32,28,4,0,持续输入,3,10.571,1.905,0,2,0,3,28,44,37,7,0,持续输入,4,13.119,1.894,0,2,0,3,37,71,64,7,0,持续输入,8,71.904,2.08,0,4,0,5,64,0.716,
1005008-w004,1005008,200,2025-12-08T19:00:52.511150,1746,TLE,368.7,261,"Shift -> # -> i -> n -> c -> l -> u -> d ->   -> e -> Shift -> < -> s -> d -> t -> i -> o -> . -> h -> Shift -> > -> Enter -> i -> t ->   -> n -> m -> a -> i -> n -> Shift -> ( -> { -> Enter -> Shift -> i -> n -> t ->   -> n -> ; -> Enter -> w -> h -> i -> l -> ; -> ex2 -> Shift -> ( -> s -> c -> a -> n -> f -> Shift -> ( -> Shift -> "" -> Shift -> % -> d -> , -> n -> Shift -> ! -> = -> Shift -> E -> F -> O -> Shift -> { -> Enter -> i -> n -> t ->   -> d -> o -> f -> o -> u -> n -> d -> 0 -> = -> ; -> 1 -> Enter -> i -> n -> t -> d ->   -> f -> = -> 0 -> 2 -> ;","#include <stdio.h>
int main( {
    int n;
    while(scanf(""%d ,n !=EOF {
        int found10;
        int f    2=0;
        if(n>2&&n%2==0 {
            f     =1;

        for(int a=1;a<n;a+=2 {
            for(int b=1;b<=a;b+=2 {
                if((a+b ==n {
                    f",5,4,1,0,持续输入,0,0.0,1.241,0,1,0,1,3,12,10,2,0,持续输入,1,2.3,1.344,0,1,0,1,9,24,20,4,0,持续输入,3,15.695,2.202,0,2,0,2,19,51,44,7,0,持续输入,6,25.706,2.346,0,3,0,3,42,99,85,14,0,持续输入,11,45.954,2.149,0,5,0,6,84,1.37,
1005008-w005,1005008,258,2025-12-08T19:01:57.032600,1746,TLE,368.7,261,"e -> Shift -> < -> s -> d -> t -> i -> o -> . -> h -> Shift -> > -> Enter -> i -> t ->   -> n -> m -> a -> i -> n -> Shift -> ( -> { -> Enter -> Shift -> i -> n -> t ->   -> n -> ; -> Enter -> w -> h -> i -> l -> ; -> ex2 -> Shift -> ( -> s -> c -> a -> n -> f -> Shift -> ( -> Shift -> "" -> Shift -> % -> d -> , -> n -> Shift -> ! -> = -> Shift -> E -> F -> O -> Shift -> { -> Enter -> i -> n -> t ->   -> d -> o -> f -> o -> u -> n -> d -> 0 -> = -> ; -> 1 -> Enter -> i -> n -> t -> d ->   -> f -> = -> 0 -> 2 -> ; -> Enter -> i -> f -> Shift -> ( -> n -> Shift -> > -> 2","#include <stdio.h>
int main( {
    int n;
    while(scanf(""%d ,n !=EOF {
        int found10;
        int f    2=0;
        if(n>2&&n%2==0 {
            f     =1;

        for(int a=1;a<n;a+=2 {
            for(int b=1;b<=a;b+=2 {
                if((a+b ==n {
                    f     =1;



        if(f     &&f      {
            pri   (""Yes\n  ;
         el  {
            p     (""No\n  ;


    ret    0;",0,0,0,0,低活动,0,0.0,0.0,0,0,0,0,0,6,6,0,0,持续输入,0,0.0,0.976,0,0,0,0,5,27,23,4,0,持续输入,3,7.059,1.97,0,3,0,3,21,55,45,10,0,持续输入,6,17.341,2.097,0,5,0,6,43,108,91,17,0,持续输入,14,50.991,2.347,0,8,0,10,88,7.433,
