feature,coefficient,abs_coefficient
enter_120s,0.7874453538105874,0.7874453538105874
pause_total_120s,-0.598247672132331,0.598247672132331
column_changes_30s,-0.5632612211672975,0.5632612211672975
clipboard_ops_60s,-0.4963967170379584,0.4963967170379584
text_keys_30s,-0.44337968434755554,0.44337968434755554
pause_total_30s,-0.4421988553292659,0.4421988553292659
pause_p90_10s,-0.41584082451060506,0.41584082451060506
pause_p90_30s,-0.3989288664270228,0.3989288664270228
enter_10s,-0.36478082239832377,0.36478082239832377
pause_count_60s,0.32807811515909996,0.32807811515909996
keys_30s,-0.32528843047805894,0.32528843047805894
pause_p90_5s,-0.30388417886086155,0.30388417886086155
control_60s,-0.2993333757933621,0.2993333757933621
column_changes_60s,-0.2952014378176255,0.2952014378176255
pause_count_120s,-0.2879338498071315,0.2879338498071315
clipboard_ops_30s,-0.26337182536658515,0.26337182536658515
text_keys_60s,-0.2623797586036012,0.2623797586036012
keys_60s,-0.23322809548645831,0.23322809548645831
text_keys_10s,-0.21899993872419127,0.21899993872419127
text_keys_120s,-0.2103133981564897,0.2103133981564897
pause_total_10s,0.18827614697548695,0.18827614697548695
keys_10s,-0.18779492392142183,0.18779492392142183
row_changes_120s,0.18303863101692439,0.18303863101692439
backspace_120s,-0.16716355694701482,0.16716355694701482
pause_count_10s,0.1562411050250805,0.1562411050250805
column_changes_5s,0.15404227226900757,0.15404227226900757
column_changes_120s,-0.15286980786343757,0.15286980786343757
modifier_keys_60s,-0.12848557700314778,0.12848557700314778
control_10s,0.12481942451318301,0.12481942451318301
enter_30s,-0.10548831066104843,0.10548831066104843
control_5s,0.08773593759308541,0.08773593759308541
backspace_60s,-0.0762628314757374,0.0762628314757374
clipboard_ops_120s,-0.07575340025951094,0.07575340025951094
enter_5s,-0.07512121081026635,0.07512121081026635
keys_120s,-0.0712011802938821,0.0712011802938821
pause_count_5s,-0.07051307563256322,0.07051307563256322
text_keys_5s,-0.06765454941991737,0.06765454941991737
control_30s,-0.06668717342793785,0.06668717342793785
enter_60s,0.06403457524901356,0.06403457524901356
pause_count_30s,-0.05888153128022564,0.05888153128022564
pause_p90_120s,-0.05496119394296154,0.05496119394296154
row_changes_10s,0.05392824326528345,0.05392824326528345
current_idle_s,0.053374625155241204,0.053374625155241204
row_changes_5s,-0.05325055297177914,0.05325055297177914
clipboard_ops_10s,0.05214554759181042,0.05214554759181042
modifier_keys_30s,-0.04869235264797787,0.04869235264797787
modifier_keys_5s,0.0484034948919901,0.0484034948919901
modifier_keys_10s,-0.04624875144492324,0.04624875144492324
pause_p90_60s,-0.03739716164363399,0.03739716164363399
row_changes_30s,-0.035590084906351474,0.035590084906351474
keys_5s,-0.03286988030241199,0.03286988030241199
modifier_keys_120s,0.03054259576955682,0.03054259576955682
clipboard_ops_5s,-0.025878193741485343,0.025878193741485343
control_120s,0.017108443920397932,0.017108443920397932
row_changes_60s,-0.010856025467044067,0.010856025467044067
column_changes_10s,0.009284712023302291,0.009284712023302291
pause_total_60s,-0.007883010943545078,0.007883010943545078
pause_total_5s,0.007452527115350383,0.007452527115350383
backspace_5s,0.0,0.0
backspace_10s,0.0,0.0
backspace_30s,0.0,0.0
