window_id,label_row,solution_id,type,label,event_index,pause_start_ts,trigger_ts,trigger_definition,session_start_ts,session_end_ts,keys_5s,backspace_5s,navigation_5s,enter_5s,keys_10s,backspace_10s,navigation_10s,enter_10s,keys_30s,backspace_30s,navigation_30s,enter_30s,keys_60s,backspace_60s,navigation_60s,enter_60s,keys_120s,backspace_120s,navigation_120s,enter_120s,events_before,current_idle_s
1170817:0000,0,1170817,DEBUG,1,364,2025-12-26T19:34:41.754000,2025-12-26T19:34:43.754000,backspace+2s,2025-12-26T19:06:58.537000,2025-12-26T19:36:25.330000,1,1,0,0,1,1,0,0,1,1,0,0,4,1,0,0,4,1,0,0,365,2.0
1211560:0001,1,1211560,IDLE,1,37,2025-12-30T13:05:05.570000,2025-12-30T13:05:35.570000,pause_start+30s,2025-12-30T13:04:33.249000,2025-12-30T13:26:07.780000,0,0,0,0,0,0,0,0,1,0,0,0,28,0,0,3,38,0,0,5,38,30.0
1132904:0002,2,1132904,DEBUG,1,762,2025-12-23T22:44:05.610000,2025-12-23T22:44:07.610000,backspace+2s,2025-12-23T22:25:13.247000,2025-12-23T22:50:11.208000,3,1,0,0,3,1,0,0,4,1,0,0,7,2,0,0,125,2,0,11,763,2.0
1132904:0003,3,1132904,DEBUG,1,762,2025-12-23T22:44:05.610000,2025-12-23T22:44:07.610000,backspace+2s,2025-12-23T22:25:13.247000,2025-12-23T22:50:11.208000,3,1,0,0,3,1,0,0,4,1,0,0,7,2,0,0,125,2,0,11,763,2.0
1308509:0004,4,1308509,DEBUG,1,142,2026-01-07T09:07:44.926000,2026-01-07T09:07:46.926000,backspace+2s,2026-01-07T09:04:41.118000,2026-01-07T09:21:21.878000,1,1,0,0,1,1,0,0,3,1,0,0,11,1,0,0,51,1,0,2,143,2.0
1254255:0005,5,1254255,IDLE,1,139,2026-01-04T11:18:17.392000,2026-01-04T11:18:47.392000,pause_start+30s,2026-01-04T11:14:13.370000,2026-01-04T11:31:50.949000,0,0,0,0,0,0,0,0,1,0,0,0,23,0,0,1,68,0,0,3,140,30.0
1341071:0006,6,1341071,IDLE,1,3,2026-01-08T15:12:32.647000,2026-01-08T15:13:02.647000,pause_start+30s,2026-01-08T15:12:24.883000,2026-01-08T15:29:51.787000,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,2,4,0,0,2,4,30.0
992224:0007,7,992224,IDLE,1,433,2025-12-06T08:47:11.135000,2025-12-06T08:47:41.135000,pause_start+30s,2025-12-06T08:38:44.923000,2025-12-06T09:07:47.502000,0,0,0,0,0,0,0,0,1,0,0,0,47,0,0,1,102,0,0,5,434,30.0
1439761:0008,8,1439761,IDLE,1,2,2026-03-27T21:30:08.518000,2026-03-27T21:30:38.518000,pause_start+30s,2026-03-27T21:30:04.519000,2026-03-27T21:57:34.109000,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,3,30.0
1218084:0009,9,1218084,DEBUG,1,546,2025-12-30T20:22:15.702000,2025-12-30T20:22:17.702000,backspace+2s,2025-12-30T20:10:40.337000,2025-12-30T20:22:30.275000,22,22,0,0,22,22,0,0,22,22,0,0,25,22,0,0,64,22,0,2,547,2.0
1340414:0010,10,1340414,IDLE,1,213,2026-01-08T14:59:40.119000,2026-01-08T15:00:10.119000,pause_start+30s,2026-01-08T14:56:53.673000,2026-01-08T15:17:41.976000,0,0,0,0,0,0,0,0,1,0,0,1,44,0,0,2,89,0,0,5,214,30.0
1221032:0011,11,1221032,IDLE,1,143,2025-12-30T22:14:37.180000,2025-12-30T22:15:07.180000,pause_start+30s,2025-12-30T22:13:43.260000,2025-12-30T22:32:10.265000,0,0,0,0,0,0,0,0,1,0,0,0,65,0,0,12,144,0,0,27,144,30.0
1332047:0012,12,1332047,IDLE,1,362,2026-01-08T08:55:50.622000,2026-01-08T08:56:20.622000,pause_start+30s,2026-01-08T08:53:15.700000,2026-01-08T09:20:10.693000,0,0,0,0,0,0,0,0,1,0,0,1,37,0,0,4,82,0,0,6,363,30.0
1378256:0013,13,1378256,IDLE,0,135,2026-01-09T20:44:20.942000,2026-01-09T20:44:50.942000,pause_start+30s,2026-01-09T20:42:59.436000,2026-01-09T20:54:51.300000,0,0,0,0,0,0,0,0,1,0,0,1,69,0,0,2,136,0,0,6,136,30.0
1117585:0014,14,1117585,IDLE,1,177,2025-12-22T17:13:32.952000,2025-12-22T17:14:02.952000,pause_start+30s,2025-12-22T17:11:50.673000,2025-12-22T17:38:49.377000,0,0,0,0,0,0,0,0,1,0,0,0,33,0,3,3,135,0,3,9,178,30.0
1423207:0015,15,1423207,IDLE,0,320,2026-03-23T12:22:00.385000,2026-03-23T12:22:30.385000,pause_start+30s,2026-03-23T12:18:36.842000,2026-03-23T12:40:29.504000,0,0,0,0,0,0,0,0,1,0,0,0,30,0,0,1,100,0,0,5,321,30.0
1167814:0016,16,1167814,DEBUG,1,269,2025-12-26T14:11:32.553000,2025-12-26T14:11:34.553000,backspace+2s,2025-12-26T14:06:09.966000,2025-12-26T14:17:33.331000,1,1,0,0,1,1,0,0,1,1,0,0,4,1,0,0,4,1,0,0,270,2.0
1110599:0017,17,1110599,DEBUG,0,315,2025-12-21T17:00:39.127000,2025-12-21T17:00:41.127000,backspace+2s,2025-12-21T16:54:12.928000,2025-12-21T17:17:12.290000,2,2,0,0,2,2,0,0,31,2,0,10,42,3,0,12,64,3,0,13,316,2.0
1340459:0018,18,1340459,DEBUG,1,70,2026-01-08T15:17:12.583000,2026-01-08T15:17:14.583000,backspace+2s,2026-01-08T15:15:39.469000,2026-01-08T15:20:19.100000,8,2,4,0,9,3,4,0,29,13,4,0,40,14,11,0,71,30,11,0,71,2.0
1418611:0019,19,1418611,IDLE,1,482,2026-03-02T17:29:50.322000,2026-03-02T17:30:20.322000,pause_start+30s,2026-03-02T17:22:19.890000,2026-03-02T17:46:44.549000,0,0,0,0,0,0,0,0,1,0,0,0,38,0,0,2,86,0,0,4,483,30.0
1162233:0020,20,1162233,DEBUG,1,411,2025-12-26T08:36:01.893000,2025-12-26T08:36:03.893000,backspace+2s,2025-12-26T08:19:27.933000,2025-12-26T08:36:36.630000,2,2,0,0,2,2,0,0,5,2,0,0,6,2,0,0,23,2,0,0,412,2.0
1362671:0021,21,1362671,IDLE,0,192,2026-01-09T11:33:38.256000,2026-01-09T11:34:08.256000,pause_start+30s,2026-01-09T11:31:38.410000,2026-01-09T11:54:47.783000,0,0,0,0,0,0,0,0,1,0,0,1,63,0,0,3,134,0,0,6,193,30.0
1306562:0022,22,1306562,IDLE,0,322,2026-01-07T08:24:33.267000,2026-01-07T08:25:03.267000,pause_start+30s,2026-01-07T08:18:55.518000,2026-01-07T08:47:08.828000,0,0,0,0,0,0,0,0,2,0,0,1,30,0,0,5,109,0,0,12,323,30.0
1081174:0023,23,1081174,IDLE,1,83,2025-12-18T14:31:03.509000,2025-12-18T14:31:33.509000,pause_start+30s,2025-12-18T14:30:34.346000,2025-12-18T14:55:09.679000,0,0,0,0,0,0,0,0,1,0,0,1,84,0,0,6,84,0,0,6,84,30.0
1315152:0024,24,1315152,IDLE,1,194,2026-01-07T14:52:56.577000,2026-01-07T14:53:26.577000,pause_start+30s,2026-01-07T14:50:12.398000,2026-01-07T15:14:34.812000,0,0,0,0,0,0,0,0,1,0,0,0,50,0,0,2,91,0,0,5,195,30.0
1084327:0025,25,1084327,IDLE,0,22,2025-12-18T17:52:28.492000,2025-12-18T17:52:58.492000,pause_start+30s,2025-12-18T17:52:22.902000,2025-12-18T18:21:56.632000,0,0,0,0,0,0,0,0,1,0,0,1,23,0,0,2,23,0,0,2,23,30.0
1037614:0026,26,1037614,IDLE,1,62,2025-12-12T16:35:18.751000,2025-12-12T16:35:48.751000,pause_start+30s,2025-12-12T16:34:18.279000,2025-12-12T16:47:57.761000,0,0,0,0,0,0,0,0,1,0,0,1,34,0,0,4,63,0,0,4,63,30.0
1170817:0027,27,1170817,DEBUG,1,364,2025-12-26T19:34:41.754000,2025-12-26T19:34:43.754000,backspace+2s,2025-12-26T19:06:58.537000,2025-12-26T19:36:25.330000,1,1,0,0,1,1,0,0,1,1,0,0,4,1,0,0,4,1,0,0,365,2.0
1267501:0028,28,1267501,DEBUG,1,99,2026-01-05T11:20:06.777000,2026-01-05T11:20:08.777000,backspace+2s,2026-01-05T11:14:06.714000,2026-01-05T11:34:06.510000,2,2,0,0,2,2,0,0,7,3,2,0,8,4,2,0,23,5,2,1,100,2.0
1434065:0029,29,1434065,IDLE,0,58,2026-03-25T16:58:02.784000,2026-03-25T16:58:32.784000,pause_start+30s,2026-03-25T16:57:40.109000,2026-03-25T17:08:06.240000,0,0,0,0,0,0,0,0,2,0,0,1,59,0,0,4,59,0,0,4,59,30.0
1267559:0030,30,1267559,DEBUG,1,99,2026-01-05T11:20:06.777000,2026-01-05T11:20:08.777000,backspace+2s,2026-01-05T11:14:06.714000,2026-01-05T11:37:37.980000,2,2,0,0,2,2,0,0,7,3,2,0,8,4,2,0,23,5,2,1,100,2.0
