candidate_id,solution_id,candidate_type,trigger_time,problem_id,judge,events_before,event_index,current_idle_s,keys_5s,text_keys_5s,modifier_keys_5s,clipboard_ops_5s,pause_count_5s,pause_total_5s,pause_p90_5s,backspace_5s,enter_5s,control_5s,row_changes_5s,column_changes_5s,keys_10s,text_keys_10s,modifier_keys_10s,clipboard_ops_10s,pause_count_10s,pause_total_10s,pause_p90_10s,backspace_10s,enter_10s,control_10s,row_changes_10s,column_changes_10s,keys_30s,text_keys_30s,modifier_keys_30s,clipboard_ops_30s,pause_count_30s,pause_total_30s,pause_p90_30s,backspace_30s,enter_30s,control_30s,row_changes_30s,column_changes_30s,keys_60s,text_keys_60s,modifier_keys_60s,clipboard_ops_60s,pause_count_60s,pause_total_60s,pause_p90_60s,backspace_60s,enter_60s,control_60s,row_changes_60s,column_changes_60s,keys_120s,text_keys_120s,modifier_keys_120s,clipboard_ops_120s,pause_count_120s,pause_total_120s,pause_p90_120s,backspace_120s,enter_120s,control_120s,row_changes_120s,column_changes_120s,outcome_keys_30s,outcome_text_keys_30s,outcome_backspace_30s,outcome_enter_30s,outcome_keys_60s,outcome_text_keys_60s,outcome_backspace_60s,outcome_enter_60s,outcome_keys_120s,outcome_text_keys_120s,outcome_backspace_120s,outcome_enter_120s,outcome_continued_input_120s,outcome_next_event_s
993770-idle-0000,993770,idle_30s,2025-12-06T12:07:40.700000,2132,WA,1,0,30.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,522.744
993770-idle-0002,993770,idle_30s,2025-12-06T12:16:53.759000,2132,WA,3,2,30.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,0,0,0,0,2,1,1,1,0,0.0,0.315,0,0,1,0,0,2,1,1,1,0,0.0,0.315,0,0,1,0,0,0,0,0,0,1,1,0,1,10,8,0,8,1,59.039
993770-idle-0120,993770,idle_30s,2025-12-06T12:24:35.556000,2132,WA,121,120,30.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,1,0,0,0,13,9,4,0,6,23.308,4.822,0,9,2,8,9,38,26,12,0,17,76.212,4.689,0,26,6,25,27,0,0,0,0,2,1,0,0,2,1,0,0,1,38.727
993770-idle-0122,993770,idle_30s,2025-12-06T12:25:44.598000,2132,WA,123,122,30.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,0,0,0,0,2,1,1,1,0,0.0,0.315,0,0,1,0,0,10,8,2,1,6,87.137,18.132,0,7,1,8,8,0,0,0,0,0,0,0,0,34,0,0,0,1,65.394
993770-idle-0156,993770,idle_30s,2025-12-06T12:27:31.224000,2132,WA,157,156,30.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0,0,0,0,0,34,0,34,0,1,2.038,1.157,0,0,17,14,14,34,0,34,0,1,2.038,1.157,0,0,17,14,14,0,0,0,0,2,1,0,0,3,2,0,0,1,47.097
993770-idle-0158,993770,idle_30s,2025-12-06T12:28:48.626000,2132,WA,159,158,30.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,0,0,0,0,2,1,1,1,0,0.0,0.305,0,0,1,0,0,36,1,35,1,2,79.135,1.404,0,0,18,15,15,1,1,0,0,1,1,0,0,1,1,0,0,1,9.579
993770-idle-0159,993770,idle_30s,2025-12-06T12:29:28.205000,2132,WA,160,159,30.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,0,0,0,0,3,2,1,1,1,39.579,35.652,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,270.61
1005008-idle-0074,1005008,idle_30s,2025-12-08T18:57:31.822000,1746,TLE,75,74,30.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,1,0,0,0,57,47,10,0,3,8.191,0.988,0,4,0,3,47,75,63,12,0,3,8.191,0.924,0,4,0,3,63,7,7,0,0,27,27,0,2,57,51,0,4,1,25.329
1005008-idle-0101,1005008,idle_30s,2025-12-08T18:59:00.684000,1746,TLE,102,101,30.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,1,0,0,0,21,21,0,0,3,18.865,2.199,0,2,0,1,20,31,30,1,0,4,74.194,2.199,0,3,0,2,29,29,24,0,2,51,43,0,2,103,89,0,6,1,9.92
1005008-idle-0258,1005008,idle_30s,2025-12-08T19:02:19.600000,1746,TLE,259,258,30.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,0,0,0,0,38,31,7,0,3,7.059,1.609,0,3,0,4,29,84,70,14,0,11,40.98,2.33,0,7,0,9,68,2,1,0,0,2,1,0,0,2,1,0,0,1,14.263
