solution_id,windows,positives,triggers,tp,fp,fn,false_pop_rate,has_positive
1005008,4,1,1,1,0,0,0.0,True
1006107,5,3,3,2,1,1,0.2,True
1008476,5,1,0,0,0,1,0.0,True
1009937,5,1,2,1,1,0,0.2,True
1010242,5,1,4,1,3,0,0.6,True
1017474,5,0,2,0,2,0,0.4,False
1019177,5,1,1,1,0,0,0.0,True
1025438,5,1,1,0,1,1,0.2,True
1033371,2,0,0,0,0,0,0.0,False
1036007,5,2,2,2,0,0,0.0,True
1036995,4,0,0,0,0,0,0.0,False
1040795,5,0,0,0,0,0,0.0,False
1041521,5,0,1,0,1,0,0.2,False
1046718,5,0,0,0,0,0,0.0,False
1049954,5,0,0,0,0,0,0.0,False
1050643,5,1,1,1,0,0,0.0,True
1055076,5,2,1,1,0,1,0.0,True
1055705,5,1,0,0,0,1,0.0,True
1055866,5,5,3,3,0,2,0.0,True
1061476,5,1,1,1,0,0,0.0,True
1070364,5,2,3,2,1,0,0.2,True
1080234,5,3,2,2,0,1,0.0,True
1090270,5,0,1,0,1,0,0.2,False
1095283,5,1,2,1,1,0,0.2,True
1095935,1,0,0,0,0,0,0.0,False
1101613,5,0,1,0,1,0,0.2,False
1116414,3,2,2,2,0,0,0.0,True
1120829,4,2,2,2,0,0,0.0,True
1130708,1,0,0,0,0,0,0.0,False
1132940,5,1,3,1,2,0,0.4,True
1135122,5,2,2,1,1,1,0.2,True
1135851,5,1,1,1,0,0,0.0,True
1136332,5,5,5,5,0,0,0.0,True
1138163,5,3,3,3,0,0,0.0,True
1142006,5,2,2,2,0,0,0.0,True
1142884,5,0,0,0,0,0,0.0,False
1145934,5,4,2,2,0,2,0.0,True
1146055,5,0,2,0,2,0,0.4,False
1154760,5,1,4,1,3,0,0.6,True
1154790,5,2,3,1,2,1,0.4,True
1166905,5,2,2,2,0,0,0.0,True
1169124,5,0,0,0,0,0,0.0,False
1169596,5,0,1,0,1,0,0.2,False
1171120,4,0,1,0,1,0,0.25,False
1201971,5,0,1,0,1,0,0.2,False
1203968,2,0,0,0,0,0,0.0,False
1204075,5,1,1,1,0,0,0.0,True
1204347,5,0,1,0,1,0,0.2,False
1233058,5,2,4,2,2,0,0.4,True
1239234,5,1,2,1,1,0,0.2,True
1249728,5,5,5,5,0,0,0.0,True
1251138,5,0,0,0,0,0,0.0,False
1257843,4,1,2,1,1,0,0.25,True
1259801,5,2,0,0,0,2,0.0,True
1260897,5,0,0,0,0,0,0.0,False
1262853,2,1,1,1,0,0,0.0,True
1266095,5,0,0,0,0,0,0.0,False
1271224,5,1,1,1,0,0,0.0,True
1271708,5,0,2,0,2,0,0.4,False
1272023,5,3,4,3,1,0,0.2,True
1272188,5,2,2,2,0,0,0.0,True
1282793,4,0,2,0,2,0,0.5,False
1297782,5,1,0,0,0,1,0.0,True
1299160,1,0,0,0,0,0,0.0,False
1299589,5,2,3,2,1,0,0.2,True
1322502,4,1,2,1,1,0,0.25,True
1326292,3,1,1,0,1,1,0.3333333333333333,True
1326703,5,0,0,0,0,0,0.0,False
1328801,5,1,2,1,1,0,0.2,True
1355214,5,0,1,0,1,0,0.2,False
1359598,5,2,2,2,0,0,0.0,True
1378928,5,0,0,0,0,0,0.0,False
1380331,5,1,1,1,0,0,0.0,True
1387653,5,3,3,3,0,0,0.0,True
1391662,5,0,1,0,1,0,0.2,False
1395045,5,0,1,0,1,0,0.2,False
1415836,5,0,0,0,0,0,0.0,False
1422860,1,0,0,0,0,0,0.0,False
1428909,5,2,2,2,0,0,0.0,True
1429511,5,0,3,0,3,0,0.6,False
1432485,5,2,3,2,1,0,0.2,True
1436269,5,0,0,0,0,0,0.0,False
1440765,5,1,2,1,1,0,0.2,True
1461241,1,0,0,0,0,0,0.0,False
