window_id,solution_id,event_index,window_end_time,label,my_label,same_as_user,reason,judge,current_idle_s,keys_5s,keys_10s,keys_30s,keys_60s,keys_120s,text_keys_30s,text_keys_60s,modifier_keys_30s,clipboard_ops_30s,backspace_30s,enter_30s,pause_count_30s
1061476-w001,1061476,177,2025-12-15T23:01:45.010000,0,0,True,仍在持续编码，不应因活动本身弹窗,WA,0.586,9,14,66,109,178,22,61,44,0,0,2,4
1061476-w002,1061476,261,2025-12-15T23:02:58.933500,0,0,True,仍在持续编码，不应因活动本身弹窗,WA,1.069,14,23,41,68,172,24,44,17,0,0,1,0
1061476-w003,1061476,287,2025-12-15T23:04:12.857000,0,0,True,仍在持续编码，不应因活动本身弹窗,WA,0.212,6,6,12,20,77,12,20,0,0,0,0,4
1061476-w004,1061476,398,2025-12-15T23:05:26.780500,0,0,True,仍在持续编码，不应因活动本身弹窗,WA,0.653,6,12,29,104,130,26,61,3,0,0,0,3
1061476-w005,1061476,398,2025-12-15T23:06:40.704000,1,0,False,长时间无文本输入，优先视为阅读/检查，不打扰,WA,74.577,0,0,0,0,77,0,0,0,0,0,0,0
1005008-w001,1005008,74,2025-12-08T18:57:38.946800,1,1,True,长停顿后仍处于未完成/异常阶段，保留为可能需要帮助,TLE,37.125,0,0,0,36,75,0,29,0,0,0,0,0
1005008-w002,1005008,101,2025-12-08T18:58:43.468250,-1,-1,True,证据不足或主要是剪贴板/异常记录，跳过,TLE,12.784,0,0,5,27,54,5,27,0,0,0,1,1
1005008-w003,1005008,145,2025-12-08T18:59:47.989700,0,0,True,仍在持续编码，不应因活动本身弹窗,TLE,0.716,2,6,32,44,71,28,37,4,0,0,2,3
1005008-w004,1005008,200,2025-12-08T19:00:52.511150,0,0,True,仍在持续编码，不应因活动本身弹窗,TLE,1.37,5,12,24,51,99,20,44,4,0,0,2,3
1005008-w005,1005008,258,2025-12-08T19:01:57.032600,0,0,True,当前没有明确卡住证据，保守不打扰,TLE,7.433,0,6,27,55,108,23,45,4,0,0,3,3
1201971-w001,1201971,410,2025-12-29T19:06:22.095600,0,0,True,仍在持续编码，不应因活动本身弹窗,AC,4.564,1,1,13,18,103,11,16,2,0,0,2,3
1201971-w002,1201971,523,2025-12-29T19:11:16.619375,0,0,True,长时间无文本输入，优先视为阅读/检查，不打扰,AC,59.19,0,0,0,6,39,0,5,0,0,0,0,0
