window_id,solution_id,event_index,window_end_time,old_label,new_label,reason_code,review_reason,judge,current_idle_s,keys_30s,text_keys_30s,keys_60s,backspace_30s,enter_30s,control_30s,clipboard_ops_30s,row_changes_30s,column_changes_30s,review_version,reviewer
1061476-w005,1061476,398,2025-12-15T23:06:40.704000,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,WA,74.577,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1154790-w005,1154790,140,2025-12-25T16:29:58.251200,1,0,active_recent_input,窗口结束时仍在连续输入，不应因活动本身弹窗。,WA,0.491,3,3,3,0,0,0,0,1,2,positive-recheck-v1,codex_independent_conservative_review
1138163-w003,1138163,244,2025-12-24T11:32:41.189100,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,AC,131.234,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1138163-w004,1138163,244,2025-12-24T11:33:58.742450,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,AC,208.787,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1080234-w003,1080234,456,2025-12-18T14:07:19.646200,1,-1,insufficient_evidence,存在停顿但缺少足够的即时行为证据，标为不确定。,WA,53.878,0,0,6,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1080234-w004,1080234,518,2025-12-18T14:11:40.498400,1,0,active_recent_input,窗口结束时仍在连续输入，不应因活动本身弹窗。,WA,2.818,7,6,7,0,0,1,1,1,5,positive-recheck-v1,codex_independent_conservative_review
1080234-w005,1080234,547,2025-12-18T14:16:01.350600,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,WA,76.142,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1055866-w001,1055866,5,2025-12-15T19:40:54.985000,1,-1,shortcut_or_clipboard_ambiguous,主要是快捷键/剪贴板或非文本操作，无法判断需要帮助。,WA,29.157,6,0,6,0,0,3,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1055866-w002,1055866,5,2025-12-15T19:41:18.908500,1,-1,insufficient_evidence,存在停顿但缺少足够的即时行为证据，标为不确定。,WA,53.081,0,0,6,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1055866-w003,1055866,7,2025-12-15T19:41:42.832000,1,-1,insufficient_evidence,存在停顿但缺少足够的即时行为证据，标为不确定。,WA,5.051,2,0,2,0,0,1,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1055866-w004,1055866,7,2025-12-15T19:42:06.755500,1,-1,insufficient_evidence,存在停顿但缺少足够的即时行为证据，标为不确定。,WA,28.974,2,0,2,0,0,1,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1055866-w005,1055866,22,2025-12-15T19:42:30.679000,1,0,active_recent_input,窗口结束时仍在连续输入，不应因活动本身弹窗。,WA,0.291,15,7,17,0,1,3,0,3,7,positive-recheck-v1,codex_independent_conservative_review
1387653-w004,1387653,693,2026-01-10T00:54:49.860600,1,-1,insufficient_evidence,存在停顿但缺少足够的即时行为证据，标为不确定。,WA,44.461,0,0,5,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1387653-w005,1387653,693,2026-01-10T00:59:18.278400,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,WA,312.878,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1145934-w002,1145934,72,2025-12-25T09:57:16.362250,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,AC,84.086,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1145934-w003,1145934,72,2025-12-25T09:59:00.786500,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,AC,188.511,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1145934-w005,1145934,100,2025-12-25T10:02:29.635000,1,0,active_recent_input,窗口结束时仍在连续输入，不应因活动本身弹窗。,AC,6.429,3,3,6,0,1,0,0,1,2,positive-recheck-v1,codex_independent_conservative_review
1359598-w001,1359598,230,2026-01-09T08:59:02.728800,1,-1,insufficient_evidence,存在停顿但缺少足够的即时行为证据，标为不确定。,CE,58.976,0,0,2,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1428909-w003,1428909,125,2026-03-24T11:56:18.052500,1,-1,insufficient_evidence,存在停顿但缺少足够的即时行为证据，标为不确定。,AC,57.094,0,0,7,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1006107-w003,1006107,259,2025-12-08T18:58:28.633500,1,-1,insufficient_evidence,存在停顿但缺少足够的即时行为证据，标为不确定。,WA,39.033,0,0,6,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1006107-w004,1006107,269,2025-12-08T19:03:11.603250,1,0,active_recent_input,窗口结束时仍在连续输入，不应因活动本身弹窗。,WA,4.223,3,2,3,0,0,0,0,1,1,positive-recheck-v1,codex_independent_conservative_review
1120829-w001,1120829,72,2025-12-22T20:43:51.080800,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,MLE,184.957,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
1297782-w001,1297782,22,2026-01-06T19:04:39.088400,1,0,active_recent_input,窗口结束时仍在连续输入，不应因活动本身弹窗。,AC,2.912,21,19,23,0,1,0,0,1,19,positive-recheck-v1,codex_independent_conservative_review
1136332-w001,1136332,101,2025-12-24T09:03:03.520000,1,-1,long_idle_no_recent_evidence,长时间无近期编辑证据，可能在读题、检查、等待或离开页面。,AC,107.232,0,0,0,0,0,0,0,0,0,positive-recheck-v1,codex_independent_conservative_review
