window_id,solution_id,event_index,window_end_time,my_label,reason,user_label,same_as_user
1061476-w005,1061476,398,2025-12-15T23:06:40.704000,0,前100条已完成复核，沿用AI最终标签,1.0,False
1154790-w001,1154790,16,2025-12-25T16:15:06.193600,-1,前100条已完成复核，沿用AI最终标签,1.0,False
1154790-w002,1154790,60,2025-12-25T16:18:49.208000,-1,前100条已完成复核，沿用AI最终标签,0.0,False
1154790-w004,1154790,135,2025-12-25T16:26:15.236800,-1,前100条已完成复核，沿用AI最终标签,0.0,False
1154790-w005,1154790,140,2025-12-25T16:29:58.251200,-1,前100条已完成复核，沿用AI最终标签,1.0,False
1138163-w002,1138163,244,2025-12-24T11:31:23.635749999,0,前100条已完成复核，沿用AI最终标签,1.0,False
1138163-w003,1138163,244,2025-12-24T11:32:41.189100,0,前100条已完成复核，沿用AI最终标签,1.0,False
1138163-w004,1138163,244,2025-12-24T11:33:58.742450,0,前100条已完成复核，沿用AI最终标签,1.0,False
1080234-w003,1080234,456,2025-12-18T14:07:19.646200,0,前100条已完成复核，沿用AI最终标签,1.0,False
1080234-w004,1080234,518,2025-12-18T14:11:40.498400,0,前100条已完成复核，沿用AI最终标签,1.0,False
1080234-w005,1080234,547,2025-12-18T14:16:01.350600,0,前100条已完成复核，沿用AI最终标签,1.0,False
1055866-w001,1055866,5,2025-12-15T19:40:54.985000,-1,前100条已完成复核，沿用AI最终标签,1.0,False
1055866-w002,1055866,5,2025-12-15T19:41:18.908500,-1,前100条已完成复核，沿用AI最终标签,1.0,False
1055866-w003,1055866,7,2025-12-15T19:41:42.832000,-1,前100条已完成复核，沿用AI最终标签,1.0,False
1055866-w004,1055866,7,2025-12-15T19:42:06.755500,-1,前100条已完成复核，沿用AI最终标签,1.0,False
1055866-w005,1055866,22,2025-12-15T19:42:30.679000,-1,前100条已完成复核，沿用AI最终标签,1.0,False
1387653-w003,1387653,601,2026-01-10T00:50:21.442800,0,前100条已完成复核，沿用AI最终标签,1.0,False
1387653-w004,1387653,693,2026-01-10T00:54:49.860600,0,前100条已完成复核，沿用AI最终标签,1.0,False
1387653-w005,1387653,693,2026-01-10T00:59:18.278400,0,前100条已完成复核，沿用AI最终标签,1.0,False
1299160-w005,1299160,32,2026-01-06T20:13:33.515400,-1,前100条已完成复核，沿用AI最终标签,0.0,False
1135122-w003,1135122,436,2025-12-24T08:32:29.408950,1,前100条已完成复核，沿用AI最终标签,0.0,False
1135122-w005,1135122,870,2025-12-24T08:40:10.950100,0,前100条已完成复核，沿用AI最终标签,1.0,False
1145934-w002,1145934,72,2025-12-25T09:57:16.362250,0,前100条已完成复核，沿用AI最终标签,1.0,False
1145934-w003,1145934,72,2025-12-25T09:59:00.786500,0,前100条已完成复核，沿用AI最终标签,1.0,False
1145934-w004,1145934,91,2025-12-25T10:00:45.210750,0,前100条已完成复核，沿用AI最终标签,1.0,False
1145934-w005,1145934,100,2025-12-25T10:02:29.635000,0,前100条已完成复核，沿用AI最终标签,1.0,False
1359598-w001,1359598,230,2026-01-09T08:59:02.728800,0,前100条已完成复核，沿用AI最终标签,1.0,False
1120829-w001,1120829,72,2025-12-22T20:43:51.080800,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
1120829-w004,1120829,442,2025-12-22T20:55:00.339775,0,没有明确卡住证据，保守不打扰,1.0,False
1297782-w001,1297782,22,2026-01-06T19:04:39.088400,-1,按键/代码证据过少或回放异常，跳过,1.0,False
1136332-w001,1136332,101,2025-12-24T09:03:03.520000,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
1136332-w002,1136332,101,2025-12-24T09:05:17.915625,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
1136332-w003,1136332,101,2025-12-24T09:07:32.311250,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
1136332-w004,1136332,101,2025-12-24T09:09:46.706875,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
1136332-w005,1136332,101,2025-12-24T09:12:01.102500,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
1204347-w003,1204347,700,2025-12-29T20:47:26.746800,-1,低活动可能是思考/阅读，证据不足,0.0,False
1299589-w003,1299589,137,2026-01-06T20:27:23.974350,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
1299589-w004,1299589,156,2026-01-06T20:29:14.640324999,0,代码已有较大进展且当前空闲，优先不打扰,1.0,False
1249728-w001,1249728,106,2026-01-04T08:22:48.066000,-1,低活动可能是思考/阅读，证据不足,1.0,False
1249728-w002,1249728,106,2026-01-04T08:24:55.633125,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
1249728-w003,1249728,106,2026-01-04T08:27:03.200250,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
1249728-w004,1249728,106,2026-01-04T08:29:10.767375,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
1249728-w005,1249728,106,2026-01-04T08:31:18.334500,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
1203968-w002,1203968,84,2025-12-29T20:32:22.347000,0,近期仍有明显文本输入，没有明确卡住证据,-1.0,False
1203968-w003,1203968,172,2025-12-29T20:33:29.027600,0,最近仍在持续输入，不应因活动本身弹窗,-1.0,False
1090270-w003,1090270,461,2025-12-19T11:06:54.520750,-1,最近主要是快捷键/剪贴板操作，不足以判断需要弹窗,0.0,False
1132940-w005,1132940,456,2025-12-23T22:43:31.051400,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
1055705-w004,1055705,778,2025-12-15T19:34:52.992075,0,最近仍在持续输入，不应因活动本身弹窗,1.0,False
1049954-w001,1049954,9,2025-12-15T11:22:53.458800,-1,按键/代码证据过少或回放异常，跳过,0.0,False
1049954-w005,1049954,345,2025-12-15T11:27:47.871100,-1,最近主要是快捷键/剪贴板操作，不足以判断需要弹窗,0.0,False
1272023-w003,1272023,488,2026-01-05T16:36:05.977049999,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
1272023-w004,1272023,508,2026-01-05T16:39:31.292474999,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
1272023-w005,1272023,508,2026-01-05T16:42:56.607899999,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
1052340-w002,1052340,62,2025-12-15T16:51:51.216875,0,最近仍在持续输入，不应因活动本身弹窗,-1.0,False
1052340-w003,1052340,71,2025-12-15T16:53:22.058150,0,没有明确卡住证据，保守不打扰,-1.0,False
1052340-w005,1052340,95,2025-12-15T16:56:23.740700,0,长时间无文本输入，保守视为阅读/检查，不打扰,-1.0,False
1259801-w004,1259801,205,2026-01-04T19:21:04.951524999,0,没有明确卡住证据，保守不打扰,1.0,False
1259801-w005,1259801,214,2026-01-04T19:21:48.101099999,0,没有明确卡住证据，保守不打扰,1.0,False
1251138-w004,1251138,310,2026-01-04T08:58:24.740100,-1,最近主要是快捷键/剪贴板操作，不足以判断需要弹窗,0.0,False
1251138-w005,1251138,318,2026-01-04T08:59:43.146400,-1,低活动可能是思考/阅读，证据不足,0.0,False
1166905-w003,1166905,488,2025-12-26T11:26:38.060150,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
1166905-w004,1166905,508,2025-12-26T11:31:33.941925,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
1017474-w002,1017474,95,2025-12-10T08:49:47.886750,1,近期输入很少但仍在任务中，可能卡住，可考虑弹窗,0.0,False
1380331-w001,1380331,57,2026-01-09T21:21:02.144400,-1,最近主要是快捷键/剪贴板操作，不足以判断需要弹窗,0.0,False
1380331-w002,1380331,58,2026-01-09T21:23:02.639250,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
1070364-w003,1070364,178,2025-12-17T09:19:27.436250,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
1070364-w005,1070364,290,2025-12-17T09:23:06.821500,0,长时间无文本输入，保守视为阅读/检查，不打扰,1.0,False
