window_id,solution_id,event_index,window_end_time,label
1061476-w001,1061476,177,2025-12-15T23:01:45.010000,0
1061476-w002,1061476,261,2025-12-15T23:02:58.933500,0
1061476-w003,1061476,287,2025-12-15T23:04:12.857000,0
1061476-w004,1061476,398,2025-12-15T23:05:26.780500,0
1061476-w005,1061476,398,2025-12-15T23:06:40.704000,0
1005008-w001,1005008,74,2025-12-08T18:57:38.946800,1
1005008-w002,1005008,101,2025-12-08T18:58:43.468250,-1
1005008-w003,1005008,145,2025-12-08T18:59:47.989700,0
1005008-w004,1005008,200,2025-12-08T19:00:52.511150,0
1005008-w005,1005008,258,2025-12-08T19:01:57.032600,0
1201971-w001,1201971,410,2025-12-29T19:06:22.095600,0
1201971-w002,1201971,523,2025-12-29T19:11:16.619375,0
1201971-w003,1201971,739,2025-12-29T19:16:11.143150,0
1201971-w004,1201971,913,2025-12-29T19:21:05.666925,0
1201971-w005,1201971,1060,2025-12-29T19:26:00.190700,0
1154790-w001,1154790,16,2025-12-25T16:15:06.193600,-1
1154790-w002,1154790,60,2025-12-25T16:18:49.208000,-1
1154790-w003,1154790,65,2025-12-25T16:22:32.222400,0
1154790-w004,1154790,135,2025-12-25T16:26:15.236800,-1
1154790-w005,1154790,140,2025-12-25T16:29:58.251200,-1
1138163-w001,1138163,199,2025-12-24T11:30:06.082400,0
1138163-w002,1138163,244,2025-12-24T11:31:23.635749999,0
1138163-w003,1138163,244,2025-12-24T11:32:41.189100,0
1138163-w004,1138163,244,2025-12-24T11:33:58.742450,0
1138163-w005,1138163,310,2025-12-24T11:35:16.295800,0
1080234-w001,1080234,157,2025-12-18T13:58:37.941800,0
1080234-w002,1080234,390,2025-12-18T14:02:58.794000,0
1080234-w003,1080234,456,2025-12-18T14:07:19.646200,0
1080234-w004,1080234,518,2025-12-18T14:11:40.498400,0
1080234-w005,1080234,547,2025-12-18T14:16:01.350600,0
1055866-w001,1055866,5,2025-12-15T19:40:54.985000,-1
1055866-w002,1055866,5,2025-12-15T19:41:18.908500,-1
1055866-w003,1055866,7,2025-12-15T19:41:42.832000,-1
1055866-w004,1055866,7,2025-12-15T19:42:06.755500,-1
1055866-w005,1055866,22,2025-12-15T19:42:30.679000,-1
1387653-w001,1387653,419,2026-01-10T00:41:24.607200,0
1387653-w002,1387653,579,2026-01-10T00:45:53.025000,0
1387653-w003,1387653,601,2026-01-10T00:50:21.442800,0
1387653-w004,1387653,693,2026-01-10T00:54:49.860600,0
1387653-w005,1387653,693,2026-01-10T00:59:18.278400,0
1046718-w001,1046718,75,2025-12-14T19:15:59.207000,0
1046718-w002,1046718,119,2025-12-14T19:16:36.558125,0
1046718-w003,1046718,136,2025-12-14T19:17:13.909250,0
1046718-w004,1046718,178,2025-12-14T19:17:51.260375,0
1046718-w005,1046718,241,2025-12-14T19:18:28.611500,0
1423437-w001,1423437,32,2026-03-23T13:13:49.294400,-1
1423437-w002,1423437,32,2026-03-23T13:14:30.070625,-1
1423437-w003,1423437,32,2026-03-23T13:15:10.846850,-1
1423437-w004,1423437,32,2026-03-23T13:15:51.623075,-1
1423437-w005,1423437,32,2026-03-23T13:16:32.399300,-1
1299160-w001,1299160,3,2026-01-06T20:11:32.803200,-1
1299160-w002,1299160,3,2026-01-06T20:12:02.981249999,-1
1299160-w003,1299160,4,2026-01-06T20:12:33.159300,-1
1299160-w004,1299160,4,2026-01-06T20:13:03.337350,-1
1299160-w005,1299160,32,2026-01-06T20:13:33.515400,-1
1009937-w001,1009937,208,2025-12-08T21:57:05.814400,0
1009937-w002,1009937,318,2025-12-08T21:58:28.448875,0
1009937-w003,1009937,373,2025-12-08T21:59:51.083350,0
1009937-w004,1009937,398,2025-12-08T22:01:13.717825,1
1009937-w005,1009937,435,2025-12-08T22:02:36.352300,0
1008476-w001,1008476,147,2025-12-08T20:19:43.888000,0
1008476-w002,1008476,159,2025-12-08T20:22:55.224250,1
1008476-w003,1008476,305,2025-12-08T20:26:06.560500,0
1008476-w004,1008476,367,2025-12-08T20:29:17.896749999,0
1008476-w005,1008476,460,2025-12-08T20:32:29.233000,0
1050643-w001,1050643,161,2025-12-15T13:56:44.658600,0
1050643-w002,1050643,228,2025-12-15T13:57:46.329125,0
1050643-w003,1050643,280,2025-12-15T13:58:47.999650,1
1050643-w004,1050643,297,2025-12-15T13:59:49.670175,0
1050643-w005,1050643,398,2025-12-15T14:00:51.340700,0
1135122-w001,1135122,178,2025-12-24T08:24:47.867800,1
1135122-w002,1135122,360,2025-12-24T08:28:38.638375,0
1135122-w003,1135122,436,2025-12-24T08:32:29.408950,1
1135122-w004,1135122,678,2025-12-24T08:36:20.179525,0
1135122-w005,1135122,870,2025-12-24T08:40:10.950100,0
1145934-w001,1145934,56,2025-12-25T09:55:31.938000,0
1145934-w002,1145934,72,2025-12-25T09:57:16.362250,0
1145934-w003,1145934,72,2025-12-25T09:59:00.786500,0
1145934-w004,1145934,91,2025-12-25T10:00:45.210750,0
1145934-w005,1145934,100,2025-12-25T10:02:29.635000,0
