feature,gini_importance,permutation_mean
progress_ratio,0.05271530701292787,0.11136223705707546
current_idle_s,0.07205412377134573,0.05057108060959157
keys_30s,0.09762257929919038,0.023445863445863503
pause_total_120s,0.012848327901783713,0.018461538461538484
pause_count_60s,0.011367875654236295,0.009230769230769242
pause_total_60s,0.017527859525111503,0.009230769230769242
row_changes_120s,0.03366636851725247,0.006477732793522306
pause_p90_120s,0.011306573800427518,0.004615384615384621
keys_60s,0.05478895813776676,0.0005668016194332548
pause_total_5s,0.0,0.0
text_keys_5s,0.008160651333382613,0.0
modifier_keys_5s,0.00022593033794362347,0.0
clipboard_ops_5s,5.133069043670079e-18,0.0
keys_5s,0.0019805731418350734,0.0
row_changes_10s,8.894442047007458e-05,0.0
modifier_keys_10s,0.0006117540652360587,0.0
pause_count_10s,1.0978048447054052e-17,0.0
clipboard_ops_10s,1.9165490789562536e-17,0.0
enter_10s,0.00013656731433636405,0.0
backspace_10s,0.0,0.0
control_10s,2.373217896677137e-18,0.0
pause_total_10s,0.0005661181287721025,0.0
clipboard_ops_30s,4.57766541138035e-18,0.0
pause_p90_5s,0.006145887417752974,0.0
backspace_5s,0.0,0.0
enter_5s,1.1608561218903839e-17,0.0
control_5s,0.0,0.0
row_changes_5s,2.17413828407553e-18,0.0
column_changes_5s,0.006118014225069106,0.0
pause_count_5s,0.0,0.0
enter_120s,0.0066549255101315385,0.0
backspace_120s,0.0,0.0
control_120s,0.0027769312786991357,0.0
pause_count_120s,0.013895775323630177,0.0
text_keys_120s,0.018349734258334083,0.0
backspace_60s,0.0,0.0
control_30s,0.0,0.0
enter_30s,0.0030562446947740994,0.0
enter_60s,0.0037586679003815487,0.0
clipboard_ops_120s,0.001452923740109765,0.0
column_changes_60s,0.0169733044363174,0.0
control_60s,0.0008702284325760495,0.0
clipboard_ops_60s,0.0002388256297153014,0.0
backspace_30s,0.0,0.0
modifier_keys_60s,0.01795680530403866,-0.00024291497975705844
text_keys_30s,0.07721167172324367,-0.000630995367837417
row_changes_60s,0.027703085284534527,-0.0031950979319400165
column_changes_120s,0.022287858365639054,-0.005101214574898738
pause_total_30s,0.01713932461686343,-0.00971659919028336
text_keys_60s,0.0511316054740268,-0.00971659919028336
pause_p90_60s,0.0351783360403998,-0.00971659919028336
column_changes_30s,0.05392344986291386,-0.012342707079549164
modifier_keys_120s,0.01800883740818454,-0.014574898785425039
keys_10s,0.02693618867458184,-0.014574898785425039
keys_120s,0.018802765892115644,-0.014574898785425039
row_changes_30s,0.009158249922116918,-0.014574898785425039
pause_count_30s,0.02882950698009551,-0.01943319838056672
pause_p90_10s,0.02567739827649385,-0.01943319838056672
text_keys_10s,0.03460361715542533,-0.01943319838056672
modifier_keys_30s,0.0216505340423888,-0.01943319838056672
column_changes_10s,0.028372407196340425,-0.01943319838056672
pause_p90_30s,0.029468382571087873,-0.034533318743845
