solution_id,windows,positives,recommended_popups,true_positive,false_positive,false_pop_rate
1005008,4,1,1,1,0,0.0
1006107,5,3,1,1,0,0.0
1008476,5,1,4,1,3,0.6
1009937,5,1,0,0,0,0.0
1010242,5,0,0,0,0,0.0
1017474,5,1,1,1,0,0.0
1019177,4,0,0,0,0,0.0
1025438,5,0,3,0,3,0.6
1033371,3,1,1,1,0,0.0
1036007,5,0,0,0,0,0.0
1036995,4,0,1,0,1,0.25
1040795,5,0,0,0,0,0.0
1041521,4,0,0,0,0,0.0
1046718,5,0,0,0,0,0.0
1049954,3,0,0,0,0,0.0
1050643,5,1,1,1,0,0.0
1052340,3,0,1,0,1,0.3333333333333333
1055076,4,0,0,0,0,0.0
1055705,5,0,0,0,0,0.0
1061476,5,0,0,0,0,0.0
1070364,5,0,1,0,1,0.2
1080234,5,0,0,0,0,0.0
1090270,4,0,0,0,0,0.0
1095283,5,0,1,0,1,0.2
1095935,1,0,0,0,0,0.0
1101613,5,1,5,1,4,0.8
1120829,4,0,1,0,1,0.25
1130708,1,0,0,0,0,0.0
1132940,5,0,2,0,2,0.4
1135122,5,2,2,2,0,0.0
1135851,5,0,1,0,1,0.2
1136332,5,0,0,0,0,0.0
1138163,5,0,0,0,0,0.0
1142006,4,0,1,0,1,0.25
1142884,5,1,1,1,0,0.0
1145934,5,0,0,0,0,0.0
1146055,5,0,0,0,0,0.0
1154760,5,0,1,0,1,0.2
1154790,1,0,1,0,1,1.0
1166905,5,0,1,0,1,0.2
1169124,5,0,0,0,0,0.0
1169596,5,0,1,0,1,0.2
1171120,4,0,0,0,0,0.0
1201971,5,0,1,0,1,0.2
1203968,4,0,0,0,0,0.0
1204075,5,1,1,1,0,0.0
1204347,4,0,0,0,0,0.0
1233058,4,0,2,0,2,0.5
1239234,5,0,0,0,0,0.0
1249728,4,0,0,0,0,0.0
1251138,3,0,0,0,0,0.0
1257843,4,0,0,0,0,0.0
1259801,5,0,0,0,0,0.0
1260897,5,0,0,0,0,0.0
1262853,1,0,0,0,0,0.0
1266095,5,0,0,0,0,0.0
1271224,4,1,1,1,0,0.0
1271708,5,0,2,0,2,0.4
1272023,5,0,0,0,0,0.0
1272188,5,0,0,0,0,0.0
1282793,4,0,0,0,0,0.0
1297782,4,0,0,0,0,0.0
1299589,5,0,2,0,2,0.4
1322502,4,0,1,0,1,0.25
1326292,2,0,1,0,1,0.5
1326703,5,0,0,0,0,0.0
1328801,5,0,0,0,0,0.0
1355214,5,0,0,0,0,0.0
1359598,5,1,2,1,1,0.2
1378928,5,0,0,0,0,0.0
1380331,4,0,1,0,1,0.25
1387653,5,0,2,0,2,0.4
1391662,4,0,0,0,0,0.0
1395045,5,0,0,0,0,0.0
1415836,5,0,0,0,0,0.0
1422860,1,0,0,0,0,0.0
1428909,5,2,1,1,0,0.0
1429511,5,0,0,0,0,0.0
1432485,5,0,1,0,1,0.2
1436269,5,0,0,0,0,0.0
1440765,4,0,0,0,0,0.0
1461241,2,0,0,0,0,0.0
1461898,1,0,0,0,0,0.0
