window_id,solution_id,event_index,window_end_time,candidate_old_label,candidate_new_label,reason_code,candidate_reason,judge,current_idle_s,keys_30s,text_keys_30s,keys_60s
1061476-w005,1061476,398,2025-12-15T23:06:40.704000,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,WA,74.577,0,0,0
1138163-w003,1138163,244,2025-12-24T11:32:41.189100,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,AC,131.234,0,0,0
1138163-w004,1138163,244,2025-12-24T11:33:58.742450,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,AC,208.787,0,0,0
1080234-w005,1080234,547,2025-12-18T14:16:01.350600,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,WA,76.142,0,0,0
1387653-w005,1387653,693,2026-01-10T00:59:18.278400,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,WA,312.878,0,0,0
1145934-w002,1145934,72,2025-12-25T09:57:16.362250,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,AC,84.086,0,0,0
1145934-w003,1145934,72,2025-12-25T09:59:00.786500,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,AC,188.511,0,0,0
1120829-w001,1120829,72,2025-12-22T20:43:51.080800,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,MLE,184.957,0,0,0
1136332-w001,1136332,101,2025-12-24T09:03:03.520000,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,AC,107.232,0,0,0
1136332-w002,1136332,101,2025-12-24T09:05:17.915625,-1,1,long_idle_no_recent_evidence,高召回候选：长时间无近期编辑/新反馈，先送二次LLM复核；不直接等同于最终应弹窗。,AC,241.628,0,0,0
