window_id,solution_id,event_index,window_end_time,label,prediction,error_type,current_idle_s,keys_30s,text_keys_30s,clipboard_ops_30s,backspace_30s,enter_30s,control_30s,keys_60s,text_keys_60s,judge,key_summary
1201971-w002,1201971,523,2025-12-29T19:11:16.619375,0,1,false_positive,59.19,0,0,0,0,0,0,6,5,AC,"Shift -> CapsLock -> Shift -> i -> t ->   -> n -> a -> [ -> CapsLock -> M -> A -> X -> [ -> M -> A -> X -> CapsLock -> , -> M -> CapsLockx2 -> mx2 -> [ -> CapsLock -> M -> A -> X -> [ -> M -> A -> X -> ; -> Enter -> F -> O -> R -> Shift -> ( -> I -> N -> CapsLock -> o -> r -> Shift -> ( -> f -> i -> n -> t ->   -> i -> = -> 0 -> ; -> Shift -> < -> n -> i -> ; -> i -> Shift -> +x2 -> s -> Enter -> f -> o -> r -> Shift -> ( -> n -> t ->   -> i -> j -> = -> 0 -> ; -> Shift -> < -> j -> m -> j -> ; -> j -> Shift -> +x2 -> s -> Enter -> Shift -> { -> s -> Enterx2 -> Shift -> { -> Enter -> k -> , -> = -> 0 -> s"
1154790-w001,1154790,16,2025-12-25T16:15:06.193600,1,0,false_negative,22.039,4,4,0,0,0,0,8,8,WA,2 ->   -> 1x2 -> Backspacex5 -> Enter ->   -> m -> = -> y -> / -> 6 -> ;
1154790-w003,1154790,65,2025-12-25T16:22:32.222400,0,1,false_positive,119.65,0,0,0,0,0,0,0,0,WA,2 ->   -> 1x2 -> Backspacex5 -> Enter ->   -> m -> = -> y -> / -> 6 -> ; -> m -> Enter -> i -> n -> y -> t ->   -> n -> = -> y -> Shift -> % -> 6 -> ; -> 6 -> Shiftx7 -> * -> m -> Shift -> + -> 1 -> Shiftx6 -> + -> 2 -> Shift -> * -> m -> 1 ->   -> 1 -> 0 -> bx2 -> 0x3 -> Control -> c
1154790-w004,1154790,135,2025-12-25T16:26:15.236800,0,1,false_positive,45.703,0,0,0,0,0,0,14,14,WA,2 ->   -> 1x2 -> Backspacex5 -> Enter ->   -> m -> = -> y -> / -> 6 -> ; -> m -> Enter -> i -> n -> y -> t ->   -> n -> = -> y -> Shift -> % -> 6 -> ; -> 6 -> Shiftx7 -> * -> m -> Shift -> + -> 1 -> Shiftx6 -> + -> 2 -> Shift -> * -> m -> 1 ->   -> 1 -> 0 -> bx2 -> 0x3 -> Control -> c -> Enterx2 -> Control -> c -> Control -> v -> Enter -> a -> n -> a -> i -> n -> t ->   -> l -> e -> a -> e -> x -> t -> r -> a -> = -> 0 -> ; -> x -> e -> t -> r -> a -> - -> e -> x -> t -> r -> a -> - -> 2 -> Shiftx12 -> * -> n -> = -> + -> 1 -> Shift -> Backspacex10 -> 7 ->   -> 1 -> 3
1154790-w005,1154790,140,2025-12-25T16:29:58.251200,1,0,false_negative,0.491,3,3,0,0,0,0,3,3,WA,2 ->   -> 1x2 -> Backspacex5 -> Enter ->   -> m -> = -> y -> / -> 6 -> ; -> m -> Enter -> i -> n -> y -> t ->   -> n -> = -> y -> Shift -> % -> 6 -> ; -> 6 -> Shiftx7 -> * -> m -> Shift -> + -> 1 -> Shiftx6 -> + -> 2 -> Shift -> * -> m -> 1 ->   -> 1 -> 0 -> bx2 -> 0x3 -> Control -> c -> Enterx2 -> Control -> c -> Control -> v -> Enter -> a -> n -> a -> i -> n -> t ->   -> l -> e -> a -> e -> x -> t -> r -> a -> = -> 0 -> ; -> x -> e -> t -> r -> a -> - -> e -> x -> t -> r -> a -> - -> 2 -> Shiftx12 -> * -> n -> = -> + -> 1 -> Shift -> Backspacex10 -> 7 ->   -> 1 -> 3 -> Control -> c -> = -> -
1080234-w004,1080234,518,2025-12-18T14:11:40.498400,1,0,false_negative,2.818,7,6,1,0,0,1,7,6,WA,", -> 1 -> 3 -> Shiftx29 -> } -> Shiftx3 -> ; -> Enter -> i -> n -> t ->   -> t -> o -> a -> l -> t -> Shift -> _ -> d -> a -> y -> s -> = -> 0 -> ; -> t -> o -> t -> a -> l -> = -> m -> o -> [ -> m -> - -> 1 -> ; -> Enter -> i -> f -> Shift -> ( -> m -> = -> 2 -> Shift -> &x2 -> i -> s -> 9 -> Shift -> ( -> y -> Shift -> { -> Enter -> t -> Shift -> +x2 -> ; -> Enter -> p -> r -> i -> n -> t -> f -> Shift -> ( -> "" -> % -> d -> \ -> n -> , -> t -> o -> ; -> Enter -> r -> e -> t -> u -> r -> n ->   -> 0 -> ; -> Enter -> f -> i -> Shift -> ( -> m -> Shiftx4 -> < -> 0 -> Shift"
1055866-w001,1055866,5,2025-12-15T19:40:54.985000,1,0,false_negative,29.157,6,0,0,0,0,3,6,0,WA,Control -> Insert -> Control -> Insert -> Control -> Insert
1055866-w003,1055866,7,2025-12-15T19:41:42.832000,1,0,false_negative,5.051,2,0,0,0,0,1,2,0,WA,Control -> Insert -> Control -> Insert -> Control -> Insert -> Control -> Insert
1055866-w004,1055866,7,2025-12-15T19:42:06.755500,1,0,false_negative,28.974,2,0,0,0,0,1,2,0,WA,Control -> Insert -> Control -> Insert -> Control -> Insert -> Control -> Insert
1055866-w005,1055866,22,2025-12-15T19:42:30.679000,1,0,false_negative,0.291,15,7,0,0,1,3,17,7,WA,Control -> Insert -> Control -> Insert -> Control -> Insert -> Control -> Insert -> Control -> Insert -> Control -> Insert -> Control -> Insert -> Enter -> i -> f -> Shift -> ( -> j -> Shift -> * -> j
