rule,n,positive,trigger,tn,fp,fn,tp,precision,recall,f1
idle_ge30,182,61,57,105,16,20,41,0.7192982456140351,0.6721311475409836,0.6949152542372882
keys30_lt5,182,61,78,96,25,8,53,0.6794871794871795,0.8688524590163934,0.762589928057554
keys60_lt20,182,61,83,93,28,6,55,0.6626506024096386,0.9016393442622951,0.7638888888888888
idle20_keys30_lt8,182,61,67,102,19,13,48,0.7164179104477612,0.7868852459016393,0.75
idle20_keys30_lt8_no_clip,182,61,66,103,18,13,48,0.7272727272727273,0.7868852459016393,0.7559055118110236
idle20_multiscale,182,61,61,104,17,17,44,0.7213114754098361,0.7213114754098361,0.7213114754098361
multiscale_no_clip,182,61,73,99,22,10,51,0.6986301369863014,0.8360655737704918,0.7611940298507462
idle20_low_text_row,182,61,67,102,19,13,48,0.7164179104477612,0.7868852459016393,0.75
idle10_backspace2_no_clip,182,61,0,121,0,61,0,0.0,0.0,0.0
idle10_pause_lowkeys_no_clip,182,61,4,118,3,60,1,0.25,0.01639344262295082,0.03076923076923077
idle20_no_clip_low_control,182,61,65,103,18,14,47,0.7230769230769231,0.7704918032786885,0.746031746031746
union_low_activity_or_edit_struggle,182,61,66,103,18,13,48,0.7272727272727273,0.7868852459016393,0.7559055118110236
