rule,n,positive,trigger,tn,fp,fn,tp,precision,recall,f1
idle_ge30,380,90,108,247,43,25,65,0.6018518518518519,0.7222222222222222,0.6565656565656566
keys30_lt5,380,90,146,225,65,9,81,0.5547945205479452,0.9,0.6864406779661016
keys60_lt20,380,90,151,220,70,9,81,0.5364238410596026,0.9,0.6721991701244814
idle20_keys30_lt8,380,90,124,241,49,15,75,0.6048387096774194,0.8333333333333334,0.7009345794392523
idle20_keys30_lt8_no_clip,380,90,122,242,48,16,74,0.6065573770491803,0.8222222222222222,0.6981132075471698
idle20_multiscale,380,90,110,249,41,21,69,0.6272727272727273,0.7666666666666667,0.69
multiscale_no_clip,380,90,132,234,56,14,76,0.5757575757575758,0.8444444444444444,0.6846846846846847
idle20_low_text_row,380,90,123,242,48,15,75,0.6097560975609756,0.8333333333333334,0.704225352112676
idle10_backspace2_no_clip,380,90,0,290,0,90,0,0.0,0.0,0.0
idle10_pause_lowkeys_no_clip,380,90,9,282,8,89,1,0.1111111111111111,0.011111111111111112,0.020202020202020204
idle20_no_clip_low_control,380,90,121,242,48,17,73,0.6033057851239669,0.8111111111111111,0.6919431279620853
union_low_activity_or_edit_struggle,380,90,122,242,48,16,74,0.6065573770491803,0.8222222222222222,0.6981132075471698
