window_id,solution_id,event_index,window_end_time,label
"1271224-w001",1271224,143,"2026-01-05T16:10:35.908200",1
"1271224-w002",1271224,261,"2026-01-05T16:14:03.069000",0
"1271224-w003",1271224,430,"2026-01-05T16:17:30.229800",0
"1271224-w004",1271224,504,"2026-01-05T16:20:57.390600",0
"1271224-w005",1271224,530,"2026-01-05T16:24:24.551400",0
"1040795-w001",1040795,104,"2025-12-13T18:50:47.103600",0
"1040795-w002",1040795,128,"2025-12-13T18:52:22.265625",0
"1040795-w003",1040795,168,"2025-12-13T18:53:57.427650",0
"1040795-w004",1040795,226,"2025-12-13T18:55:32.589675",0
"1040795-w005",1040795,270,"2025-12-13T18:57:07.751700",0
"1391662-w001",1391662,42,"2026-01-10T10:29:13.079800",0
"1391662-w002",1391662,155,"2026-01-10T10:32:16.227625",0
"1391662-w003",1391662,326,"2026-01-10T10:35:19.375450",0
"1391662-w004",1391662,496,"2026-01-10T10:38:22.523275",0
"1391662-w005",1391662,625,"2026-01-10T10:41:25.671100",0
"1215320-w001",1215320,16,"2025-12-30T17:23:50.992400",-1
"1215320-w002",1215320,20,"2025-12-30T17:25:03.363125",-1
"1215320-w003",1215320,20,"2025-12-30T17:26:15.733850",-1
"1215320-w004",1215320,20,"2025-12-30T17:27:28.104575",-1
"1215320-w005",1215320,20,"2025-12-30T17:28:40.475300",-1
"1440765-w001",1440765,22,"2026-03-28T11:37:12.985600",1
"1440765-w002",1440765,98,"2026-03-28T11:39:45.967625",0
"1440765-w003",1440765,236,"2026-03-28T11:42:18.949650",0
"1440765-w004",1440765,258,"2026-03-28T11:44:51.931675",0
"1440765-w005",1440765,264,"2026-03-28T11:47:24.913700",0
"1436269-w001",1436269,163,"2026-03-26T13:39:31.209200",0
"1436269-w002",1436269,243,"2026-03-26T13:40:26.417500",0
"1436269-w003",1436269,337,"2026-03-26T13:41:21.625800",0
"1436269-w004",1436269,421,"2026-03-26T13:42:16.834100",0
"1436269-w005",1436269,542,"2026-03-26T13:43:12.042400",0
"1260897-w001",1260897,103,"2026-01-04T19:43:14.404400",0
"1260897-w002",1260897,181,"2026-01-04T19:45:18.601375",0
"1260897-w003",1260897,204,"2026-01-04T19:47:22.798350",0
"1260897-w004",1260897,230,"2026-01-04T19:49:26.995325",0
"1260897-w005",1260897,281,"2026-01-04T19:51:31.192300",0
"1415836-w001",1415836,58,"2026-02-20T11:48:20.540000",0
"1415836-w002",1415836,69,"2026-02-20T11:48:30.947750",0
"1415836-w003",1415836,93,"2026-02-20T11:48:41.355500",0
"1415836-w004",1415836,105,"2026-02-20T11:48:51.763250",0
"1415836-w005",1415836,118,"2026-02-20T11:49:02.171000",0
"1116414-w001",1116414,25,"2025-12-22T16:40:25.891200",0
"1116414-w002",1116414,57,"2025-12-22T16:41:13.550000",1
"1116414-w003",1116414,57,"2025-12-22T16:42:01.208800",1
"1116414-w004",1116414,57,"2025-12-22T16:42:48.867600",-1
"1116414-w005",1116414,73,"2025-12-22T16:43:36.526400",-1
"1036007-w001",1036007,207,"2025-12-12T10:00:01.891600",0
"1036007-w002",1036007,214,"2025-12-12T10:02:16.336750",1
"1036007-w003",1036007,214,"2025-12-12T10:04:30.781900",1
"1036007-w004",1036007,319,"2025-12-12T10:06:45.227050",0
"1036007-w005",1036007,431,"2025-12-12T10:08:59.672200",0
"1019177-w001",1019177,161,"2025-12-10T10:08:42.780400",0
"1019177-w002",1019177,190,"2025-12-10T10:12:04.049125",0
"1019177-w003",1019177,245,"2025-12-10T10:15:25.317850",1
"1019177-w004",1019177,319,"2025-12-10T10:18:46.586574999",0
"1019177-w005",1019177,488,"2025-12-10T10:22:07.855299999",0
"1142006-w001",1142006,81,"2025-12-24T17:45:29.281400",1
"1142006-w002",1142006,157,"2025-12-24T17:47:10.526250",0
"1142006-w003",1142006,221,"2025-12-24T17:48:51.771100",0
"1142006-w004",1142006,391,"2025-12-24T17:50:33.015950",0
"1142006-w005",1142006,450,"2025-12-24T17:52:14.260800",1
"1212504-w001",1212504,1,"2025-12-30T14:44:39.827000",-1
"1212504-w002",1212504,10,"2025-12-30T14:47:35.916375",-1
"1212504-w003",1212504,12,"2025-12-30T14:50:32.005750",-1
"1212504-w004",1212504,12,"2025-12-30T14:53:28.095125",-1
"1212504-w005",1212504,53,"2025-12-30T14:56:24.184500",-1
"1041521-w001",1041521,71,"2025-12-13T20:16:00.762800",0
"1041521-w002",1041521,276,"2025-12-13T20:19:13.813874999",0
"1041521-w003",1041521,522,"2025-12-13T20:22:26.864949999",0
"1041521-w004",1041521,529,"2025-12-13T20:25:39.916025",0
"1041521-w005",1041521,681,"2025-12-13T20:28:52.967099999",0
"1146055-w001",1146055,147,"2025-12-25T10:10:42.911600",0
"1146055-w002",1146055,239,"2025-12-25T10:11:45.488625",0
"1146055-w003",1146055,249,"2025-12-25T10:12:48.065650",0
"1146055-w004",1146055,271,"2025-12-25T10:13:50.642675",0
"1146055-w005",1146055,271,"2025-12-25T10:14:53.219700",0
"1055076-w001",1055076,39,"2025-12-15T19:20:51.665800",1
"1055076-w002",1055076,110,"2025-12-15T19:22:23.059375",0
"1055076-w003",1055076,185,"2025-12-15T19:23:54.452950",0
"1055076-w004",1055076,305,"2025-12-15T19:25:25.846525",0
"1055076-w005",1055076,310,"2025-12-15T19:26:57.240100",1
"1272188-w001",1272188,184,"2026-01-05T16:36:35.553400",0
"1272188-w002",1272188,318,"2026-01-05T16:39:09.053250",0
"1272188-w003",1272188,337,"2026-01-05T16:41:42.553100",1
"1272188-w004",1272188,360,"2026-01-05T16:44:16.052950",1
"1272188-w005",1272188,380,"2026-01-05T16:46:49.552800",0
"1204075-w001",1204075,112,"2025-12-29T20:31:27.234999999",0
